trait_name,trait_value,myrtle_rust,goats,C4_grasses,pigs,deer,phytophthora
habitat,rainforest_subtropical_upland,2,0,0,1,1,.5
habitat,rainforest_temperate,2,0,0,1,1,.5
habitat,rainforest_tropical,2,0,0,1,1,.5
habitat,rainforest_tropical_lowland,2,0,0,1,1,.5
habitat,rainforest_warm_temperate,2,0,0,1,1,.5
habitat,riparian,1,0,0,1,1,.5
habitat,roadside,0,0.9,1.5,1,1,1
habitat,rock_pools_shallow,0,0.9,0,0,0,0
habitat,rocky,0,1,0,0,0,1
habitat,rocky_outcrop,0,1,0,0,0,1
habitat,saltmarshes,0,0,0,0,0.3,0
habitat,saltpan,0,0,0,0,0.3,0
habitat,sampire,0,0,0,0.5,0,1
habitat,sanddunes,0,0.5,0,0,0,1
habitat,sanddunes_coastal,0,0.5,0,0,0,1
habitat,sandhills,0,0.5,0,0,0,1
habitat,sandplain,0,0.5,0,0,0,1
habitat,savanna,0,0,2,0.5,0,.3
habitat,savanna_eucalyptus,0,0,2,0.5,0,.3
habitat,sclerophyll,0,0.9,1,0.5,0.5,1
habitat,scrubland,0,0.9,0,0.5,0,1
habitat,scrubland_acacia,0,0.9,0,0.5,0,1
habitat,scrubland_coastal,0,0.9,0,0.5,0,1
habitat,scrubland_heath,0,0.7,0,0.3,0.3,1
habitat,scrubland_open,0,0.9,0,0.5,0,1
habitat,scrubland_riparian,0,0.9,0,0.5,0,1
habitat,sedgeland,0,0.9,0,0.5,0,.3
habitat,semiaquatic,1,0,0,1,1,0
habitat,shrubland,0,0.9,0.5,0.5,0,1
habitat,shrubland_chenopod,0,0.5,0,0,0,0
habitat,shrubland_eucalypt,0,0.9,0.5,0.5,0,1
habitat,shrubland_mallee,0,0.9,0.5,0.5,0,1
habitat,shrubland_open,0,0.9,0.5,0.5,0,1
habitat,shrubland_tall,0,0.9,0.5,0.5,0,1
habitat,snowbank,0,0,0,0,0.5,0
habitat,steppe,0,0.9,1,0.5,0.5,1
habitat,streambanks,1,0,1,1,1,.5
habitat,streams,1,0,0.5,1,0,.5
habitat,subalpine,0,0,0,0,1,1
habitat,swamp,2,0,0,1,0,0.5
habitat,swamp_forest,2,0,0,1,1,.5
habitat,swamp_lowland,2,0,0,1,0,0.5
habitat,swamp_margin,2,0,0,1,0,0.5
habitat,thickets,0,0.5,0,0,0.5,1
habitat,tidal_flats,0,0,0,0,0,0
habitat,urban,0,0.5,0,0,0.5,0.5
habitat,various,0,0.5,0.5,0.5,0.5,0.5
habitat,vine_thicket,0,0,0,1,0.5,0
habitat,water_shallow,1,0,0,1,1,0
habitat,waterholes,1,0,0,1,1,0
habitat,wet_sclerophyll,2,0,0,1,0.5,1
habitat,woodland,0,0.9,0.9,0.5,0.5,1
habitat,woodland_acacia,0,0.9,0.9,0.5,0.5,1
habitat,woodland_dry,0,0.9,0.9,0.5,0.5,1
habitat,woodland_dry_sclerophyll,0,0.9,0.9,0.5,0.5,1
habitat,woodland_eucalypt,0,0.9,0.9,0.5,0.5,1
habitat,woodland_grassy,0,0.9,1.5,0.5,0.5,1
habitat,woodland_low,0,0.9,0.9,0.5,0.5,1
habitat,woodland_moist_sclerophyll,2,0,0,1,1,1
habitat,woodland_montane,0,0,0,1,1,1
habitat,woodland_mulga,0,0.9,0.9,0.5,0.5,1
habitat,woodland_open,0,0.9,1,0.5,0.5,1
habitat,woodland_paperbark,0,0.9,0.9,0.5,0.5,1
habitat,woodland_sclerophyll,0,0.9,0.9,0.5,0.5,1
habitat,woodland_semiarid,0,0.9,0.9,0.5,0.5,1
habitat,woodland_subalpine,0,0,0,0,1,1
habitat,woodland_wandoo,0,0.9,0.9,0.5,0.5,1
habitat,woodland_wet_sclerophyll,2,0,0,1,0.5,1
