Species (tribe),Species Category,Damage score (populations assessed),Original latitudinal range,Reproductive capacity,Notes
Gossia inophloia (Myrteae),X,5.3 (11),−27.3° to −26.2°,Low,"Grows in and on the margins of subtropical rainforest and is largely restricted to small vegetation remnants. While fruit has been observed for this species, viable seed production has reduced substantially due to myrtle rust. Seedlings have not been observed in the wild. Nursery grown plants are severely impacted (Morin et al., 2012)."
Rhodomyrtus pervagata (Myrteae),Y,5.1 (34),−19.0° to −15.7°,Moderate,"In upland tropical rainforest, but also a pioneer in secondary forest (Zich et al., 2020). While a very common species, it is highly susceptible to myrtle rust infection, and experiences moderate to severe stem dieback. Unaffected reproductive material is uncommon."
Rhodamnia arenaria (Myrteae),X,5.1 (3),−13.9° to −12.7°,Data Deficient,"Most records of this species are from rainforest in the McIlwraith Range (−13.71, 143.36), for which access has become restricted. The three populations in Iron Range (−12.71, 143.26), indicate that this species is highly susceptible to myrtle rust infection, with most plants suffering severe stem dieback. Seedlings have not been observed in the wild."
Rhodamnia sp. Glastonbury (Myrteae),Y,5.1 (15),−26.8 to −25.2,Moderate,"Occupies a narrow distribution and occurs in heavily fragmented habitat. Assessments indicate that this species is highly susceptible to myrtle rust. Seedlings have not been observed in the wild. Occasional individuals have been observed producing unaffected fruit. Nursery grown plants are impacted but some survive (J. Halford, pers. comm. 2020)."
Gossia punctata (Myrteae),X,5 (19),−29.0° to −25.8°,Low,"Uncommon in subtropical and dry rainforest as a small to medium-sized tree (Floyd, 1989). Throughout the range of this species, myrtle rust impacts range from moderate stem dieback to tree death. Observations during the 2020 fruiting period indicate that seed production capacity has been severely limited, with records of up to 99% fruit abortion due to myrtle rust lesions. Seedlings have not been observed in the wild."
Rhodamnia dumicola (Myrteae),Y,4.9 (29),−28.1° to −24.3°,Moderate,"Occurs in dry rainforest as a shrub or small tree. Populations in wetter, eastern areas show more severe myrtle rust impacts than those in drier, western rainforest. This species can still produce viable seed, although seedlings have not been observed in the wild. Nursery grown plants are impacted but many survive (J. Radford-Smith, pers. comm. 2020)."
Rhodamnia angustifolia (Myrteae),Y,4.9 (1),−24.2°,Low,"Known only from one location, where it grows as a subcanopy tree in dry rainforest. Due to its rarity, only five individuals were assessed, with each showing moderate stem dieback. No seedlings were observed."
Gossia myrsinocarpa (Myrteae),Y,4.8 (41),−20.8° to −13.4°,Data deficient,"A very common shrub and small tree in tropical rainforest, with small saplings often observed in the understory. Impacts of myrtle rust are variable. Seedlings occasionally observed."
Gossia shepherdii (Myrteae),Y,4.7 (13),−19.2° to −15.7°,Data deficient,"A shrub or small tree which favours dry rainforest. Largely restricted to small saplings in the understory, yet assessments reveal that mature plants are moderately to severely impacted by myrtle rust. Seedlings have not been observed in the wild."
Rhodomyrtus canescens (Myrteae),Y,4.6 (11),−17.7° to −16.2°,Moderate,"A shrub favouring wet eucalypt forest, canopy gaps in rainforest and secondary forest. Assessments indicate that this species exhibits moderate stem dieback due to myrtle rust infection. Seedlings rarely observed in the wild."
Decaspermum humile (Myrteae),Y,4.5 (84),−33.3° to −10.7°,Moderate,"A widespread species, occurring in subtropical and tropical rainforest as a small to medium-sized tree. Populations throughout the subtropics are mostly highly susceptible to myrtle rust, whereas those in the tropics show greater resilience. Nursery grown plants are severely impacted, but some provenances, including one from the sub-tropics, survive (Morin et al., 2012; S. Shaw, pers. comm. 2021)."
Gossia macilwraithensis (Myrteae),Y,4.2 (6),−16.0° to −13.5°,Data deficient,"Uncommon throughout northern Queensland, where it grows as an understory tree in tropical rainforest. Assessments indicate that this species experiences moderate stem dieback from myrtle rust. Seedlings have not been observed in the wild."
Gossia gonoclada (Myrteae),Y,4.1 (9),−27.8° to −27.5°,Moderate,"Uncommon over a very narrow distribution, with populations rarely consisting of more than five individuals. Susceptibility to myrtle rust varies from minor to severe stem dieback. Seedlings have not been observed in the wild. Nursery grown plants are impacted but some survive (J. Halford, pers. comm. 2020)."
Lenwebbia prominens (Myrteae),Y,4.0 (11),−28.6° to −28.0°,Moderate,"Shrub or small tree in subtropical rainforest, commonly growing beside watercourses (Floyd, 1989). Assessments show that this species still produces viable seed, although reproductive capacity has reduced by up to 90% in some instances (J. Radford-Smith, unpublished data). Seedlings rarely observed in the wild. Nursery grown plants are impacted but some survive (J. Radford-Smith, pers. comm. 2020)."
Gossia bamagensis (Myrteae),Y,3.9 (7),−15.2° to −10.7°,Data deficient,"Occurs largely in gallery forest and dry, seasonal rainforest throughout far north Queensland. Moderate impacts from myrtle rust have been recorded. Seedlings occasionally observed in the wild."
Rhodamnia sessiliflora (Myrteae),Y,3.7 (48),−19.2° to −15.7°,Low,"A tree favouring canopy gaps in rainforest and secondary forest (S. McKenna, pers. comm. 2020). Myrtle rust impacts are variable, ranging from minor to severe stem dieback and reduced reproductive capacity. Seedlings occasionally observed in the wild."
Eugenia reinwardtiana (Myrteae),Y,3.7 (27),−25.4° to −10.5°,Moderate,"A highly variable species, often locally abundant with each form differing in its susceptibility to myrtle rust. Impacts range from low to severe stem dieback. Seedlings occasionally observed in the wild. Nursery grown plants are impacted but some survive (S. Shaw, J. Halford, pers. comm. 2020)."
Mitrantia bilocularis (Kanieae),Y,3.5 (3),−16.3°,Data deficient,"A rare and highly restricted species, known only from one site in Daintree National Park. While a dominant species at this site, few seedlings were observed and all exhibit damage from myrtle rust."
Rhodomyrtus effusa (Myrteae),Y,3.5 (12),−16.5° to −15.8°,Moderate,"Exhibits variation in its susceptibility to myrtle rust infection, with impacts ranging from low to severe stem dieback. Favours disturbed or regrowth rainforest communities (Zich et al., 2020). Seedlings occasionally observed in the wild."
Gossia grayi (Myrteae),Y,3.5 (11),−18.2° to −12.9°,Data deficient,"An uncommon shrub or small tree, favouring well-developed montane rainforest. Plants exhibit moderate stem dieback from myrtle rust infection, with seedlings also affected although rarely observed in the wild."
Rhodamnia argentea (Myrteae),Y,3.4 (30),−32.2° to −20.8°,Moderate,"An uncommon species in small to large tree of subtropical and dry rainforest, with myrtle rust impacts ranging from low to severe stem dieback. Seedlings occasionally observed in the wild."
Gossia acmenoides (Myrteae),Y,3.2 (27),−34.5° to −21.0°,Moderate,"A locally common shrub to medium-sized tree of dry and subtropical rainforest, with myrtle rust impacts ranging from low to severe stem dieback. Myrtle rust affected seedlings and reproductive material have been occasionally observed in the wild."
Rhodamnia whiteana (Myrteae),Y,3.2 (14),−28.5° to −27.8°,Moderate,"A small to medium-sized tree, restricted to cool subtropical rainforest over 700 m altitude. Myrtle rust damage ranges from low to moderate stem dieback, with seedlings also affected, although only occasionally observed in the wild."
Backhousia oligantha (Backhousieae),App A,3.1 (3),,,
Rhodamnia acuminata (Myrteae),App A,3.1 (12),,,
Rhodomyrtus sericea (Myrteae),App A,3.1 (10),,,
Rhodamnia costata (Myrteae),App A,2.9 (15),,,
Rhodomyrtus trineura subsp. Capensis (Myrteae),App A,2.8 (3),,,
Rhodamnia fordii (Myrteae),App A,2.7 (6),,,
Rhodamnia sharpeana (Myrteae),App A,2.7 (10),,,
Archirhodomyrtus beckleri (Myrteae),App A,2.6 (58),,,
Syzygium anisatum (Syzygieae),App A,2.6 (1),,,
Gossia floribunda (Myrteae),App A,2.5 (14),,,
Gossia lucida (Myrteae),App A,2.4 (6),,,
Backhousia subargentea (Backhousieae),App A,2.4 (11),,,
Tristaniopsis exiliflora (Kanieae),App A,2.2 (98),,,
Gossia retusa (Myrteae),App A,2.2 (5),,,
Rhodomyrtus macrocarpa (Myrteae),App A,2.1 (22),,,
Backhousia angustifolia (Backhousieae),App A,2 (1),,,
Backhousia bancroftii (Backhousieae),App A,2 (1),,,
Decaspermum struckoilicum (Myrteae),App A,2 (1),,,
Syzygium paniculatum (Syzygieae),App A,2 (1),,,
Syzygium forte (Syzygieae),App A,1.9 (5),,,
Backhousia kingii (Backhousieae),App A,1.9 (5),,,
Ristantia waterhousei (Kanieae),App A,1.9 (5),,,
Backhousia leptopetala (Backhousieae),App A,1.8 (5),,,
Tristaniopsis collina (Kanieae),App A,1.8 (5),,,
Gossia bidwillii (Myrteae),App A,1.8 (43),,,
Syzygium branderhorstii (Syzygieae),App A,1.8 (2),,,
Pilidiostigma glabrum (Myrteae),App A,1.8 (18),,,
Rhodamnia australis (Myrteae),App A,1.7 (6),,,
Gossia sankowskyorum (Myrteae),App A,1.7 (4),,,
Xanthostemon chrysanthus (Xanthostemoneae),App A,1.6 (6),,,
Syzygium bungadinnia (Syzygieae),App A,1.6 (3),,,
Syzygium corynanthum (Syzygieae),App A,1.6 (11),,,
Xanthostemon arenarius (Xanthostemoneae),App A,1.6 (1),,,
Tristantiopsis laurina (Kanieae),App A,1.5 (9),,,
Syzygium claviflorum (Syzygieae),App A,1.4 (5),,,
Syzygium smithii (Syzygieae),App A,1.4 (15),,,
Gossia pubiflora (Myrteae),App A,1.3 (5),,,
Backhousia sciadophora (Backhousieae),App A,1.3 (4),,,
Rhodamnia blairiana (Myrteae),App A,1.3 (19),,,
Uromyrtus lamingtonensis (Myrteae),App A,1.2 (5),,,
Uromyrtus tenella (Myrteae),App A,1.2 (5),,,
Pilidiostigma rhytispermum (Myrteae),App A,1.2 (10),,,
Stockwellia quadrifida (Eucalypteae),App A,1.1 (5),,,
Syzygium monimioides (Syzygieae),App A,1.1 (1),,,
Uromyrtus metrosideros (Myrteae),App A,1.0 (9),,,
Xanthostemon oppositifolius (Xanthostemoneae),App A,1.0 (7),,,
Syzygium bamagense (Syzygieae),App A,1.0 (5),,,
Sphaerantia chartacea (Kanieae),App A,1.0 (4),,,
Uromyrtus australis (Myrteae),App A,1.0 (4),,,
Syzygium pseudofastigiatum (Syzygieae),App A,1.0 (3),,,
Backhousia citriodora (Backhousieae),App A,1.0 (2),,,
Ristantia gouldii (Kanieae),App A,1.0 (2),,,
Syzygium boonjee (Syzygieae),App A,1.0 (2),,,
Gossia sp. Green Bark (Myrteae),App A,1.0 (2),,,
Syzygium hodgkinsoniae (Syzygieae),App A,1.0 (12),,,
Syzygium monospermum (Syzygieae),App A,1.0 (1),,,
Syzygium crebrinerve (Syzygieae),App A,0.8 (8),,,
Syzygium puberulum (Syzygieae),App A,0.8 (5),,,
Syzygium alliiligneum (Syzygieae),App A,0.8 (2),,,
Backhousia myrtifolia (Backhousieae),App A,0.8 (13),,,
Syzygium canicortex (Syzygieae),App A,0.8 (12),,,
Syzygium sharoniae (Syzygieae),App A,0.8 (1),,,
Pilidiostigma tetramerum (Myrteae),App A,0.7 (9),,,
Syncarpia glomulifera (Syncarpieae),App A,0.7 (3),,,
Syzygium sayeri (Syzygieae),App A,0.6 (6),,,
Xanthostemon whitei (Xanthostemoneae),App A,0.6 (4),,,
Syzygium gustavioides (Syzygieae),App A,0.6 (4),,,
Syzygium luehmannii (Syzygieae),App A,0.6 (26),,,
Syzygium cormiflorum (Syzygieae),App A,0.6 (12),,,
Syzygium oleosum (Syzygieae),App A,0.4 (22),,,
Syzygium pringlei (Syzygieae),App A,0.4 (1),,,
Syzygium resa (Syzygieae),App A,0.3 (9),,,
Syzygium alatoramulum (Syzygieae),App A,0.3 (8),,,
Syzygium moorei (Syzygieae),App A,0.3 (5),,,
Syzygium johnsonii (Syzygieae),App A,0.3 (14),,,
Syzygium australe (Syzygieae),App A,0.3 (13),,,
Gossia dallachiana (Myrteae),App A,0.3 (12),,,
Syzygium hemilampra (Syzygieae),App A,0.3 (11),,,
Syzygium francisii (Syzygieae),App A,0.3 (10),,,
Syzygium ingens (Syzygieae),App A,0.2 (6),,,
Syzygium erythrocalyx (Syzygieae),App A,0.2 (4),,,
Syzygium divaricatum (Syzygieae),App A,0.2 (4),,,
Pilidiostigma tropicum (Myrteae),App A,0.2 (13),,,
Syzygium endophloium (Syzygieae),App A,0.2 (11),,,
Syzygium kuranda (Syzygieae),App A,0.2 (11),,,
Syzygium tierneyanum (Syzygieae),App A,0.2 (10),,,
Xanthostemon xerophilus (Xanthostemoneae),App A,0.2 (1),,,
Thaleropia queenslandica (Tristanieae),App A,0.1 (7),,,
Syzygium trachyphloium (Syzygieae),App A,0.1 (5),,,
Syzygium wesa (Syzygieae),App A,0.1 (4),,,
Lindsayomyrtus racemoides (Lindsayomyrteae),App A,0.1 (3),,,
Syzygium papyraceum (Syzygieae),App A,0.03 (6),,,
Gossia fragrantissima (Myrteae),App A,0.01 (19),,,
Syzygium cryptophlebium (Syzygieae),App A,0 (9),,,
Syzygium floribundum (Syzygieae),App A,0 (6),,,
Lophostemon confertus (Lophostemoneae),App A,0 (5),,,
Syzygium hemilamprum subsp. orophilum (Syzygieae),App A,0 (5),,,
Sphaerantia discolor (Kanieae),App A,0 (4),,,
Syzygium fibrosum (Syzygieae),App A,0 (3),,,
Pilidiostigma papuanum (Myrteae),App A,0 (2),,,
Rhodamnia longisepala (Myrteae),App A,0 (2),,,
Syzygium apodophyllum (Syzygieae),App A,0 (2),,,
Syzygium unipunctatum (Syzygieae),App A,0 (11),,,
Backhousia enata (Backhousieae),App A,0 (1),,,
Backhousia tetraptera (Backhousieae),App A,0 (1),,,
Syzygium graveolens (Syzygieae),App A,0 (1),,,
Syzygium mackinnonianum (Syzygieae),App A,0 (1),,,
Welchiodendron longivalve (Lophostemoneae),App A,0 (1),,,
Xanthostemon formosus (Xanthostemoneae),App A,0 (1),,,
