taxon_name,original_text,text,00_XX_a,00_XX_f,01_plant_growth_substrate_a,01_plant_growth_substrate_f,02_commonness_a,02_commonness_f,03_habitat_moisture_a,03_habitat_moisture_f,04_habitat_topographic_a,04_habitat_topographic_f,05_habitat_a,05_habitat_f,06_soil_colour_a,06_soil_colour_f,07_substrate_a,07_substrate_f,08_soil_a,08_soil_f,09_soil_moisture_a,09_soil_moisture_f
Dianella caerulea,"Distribution and occurrence: NSW subdivisions: NC, CC, SC, NT, CT, NWS, CWS Other Australian states: Qld Vic. Tas.",   ,,,,,,,,,,,,,,,,,,,,
Dianella caerulea var. assera,"Distribution and occurrence: Coastal districts north from Nowra, extending west to the Blue Mtns and Tenterfield district. Mostly grows at higher altitudes, often associated with rainforest.NSW subdivisions: NC, CC, NT, CT Other Australian states: Qld", coastaldistricts north from nowra extending west to the blue mtns and tenterfield district mostly grows at higher altitudes often associated with rainforest  ,XX,coastaldistricts,,,,,,,,,rainforest,rainforest rainforest,,,,,,,,
Dianella caerulea var. caerulea,"Distribution and occurrence: From coast west to Bylong. Grows in heath to sclerophyll forest.NSW subdivisions: NC, CC, SC, CT Other Australian states: Qld Vic. Tas.", from coast west to bylong grows in heath to sclerophyllforest  ,,,,,,,,,,,forest_sclerophyll heath,sclerophyllforest sclerophyllforest heath,,,,,,,,
Dianella caerulea var. cinerascens,"Distribution and occurrence: North from Putty into the upper Hunter Valley, west to Wollar and north to near Werris Creek. Grows in sclerophyll forest, on shallow sandy loams.NSW subdivisions: NC, CC, CT, NWS, CWS", north from putty into the upper hunter valley west to wollar and north to near werris creek grows in sclerophyllforest on shallow sandy loams  ,,,,,,,,,valley,valley,forest_sclerophyll streams,sclerophyllforest sclerophyllforest creek,,,,,loam sand,loams sandy,,
Dianella caerulea var. petasmatodes,"Distribution and occurrence: Grows in sclerophyll forest and on margins of rainforest on ranges, on sandy and clay-loams; north from Lismore.NSW subdivisions: NC Other Australian states: Qld", grows in sclerophyllforest and on marginsofrainforest on ranges on sandy and clayloams north from lismore  ,,,,,,,,,,,rainforest_margin forest_sclerophyll,marginsofrainforest sclerophyllforest sclerophyllforest,,,,,loam_clayey sand,clayloams sandy,,
Dianella caerulea var. producta,"Distribution and occurrence: Grows chiefly on rocky hillsides; north from Nowra and extending west to Blackheath and Mt Boss.NSW subdivisions: NC, CC, SC, NT, CT Other Australian states: Qld", grows chiefly on rocky hillsides north from nowra and extending west to blackheath and mt boss  ,,,,,,,,,hills,hills hillsides,,,,,,,soil_rocky,rocky,,
Dianella caerulea var. protensa,"Distribution and occurrence: Grows in sclerophyll forest, on sandy soils, from sea level to c. 1000 m alt.; north from Nowra.NSW subdivisions: NC, CC, SC, NT, CT Other Australian states: Qld", grows in sclerophyllforest on sandy soils from sea level to c 1000 m alt north from nowra  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,sand,sandy,,
Dianella caerulea var. vannata,"Distribution and occurrence: Grows in sclerophyll forest from sea level to c. 1000 m alt.; north from the Blue Mtns.NSW subdivisions: NC, CC, CT Other Australian states: Qld", grows in sclerophyllforest from sea level to c 1000 m alt north from the blue mtns  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,,,,
Dianella congesta,"Distribution and occurrence: Grows mainly on coastal sand-dunes; north from Bawley Point. An effective sand-binder.NSW subdivisions: NC, CC, SC Other Australian states: Qld", grows mainly on coastal sanddunes north from bawley point an effective sandbinder  ,,,,,,,,,coastal,coastal,sanddunes,sanddunes,,,,,,,,
Dianella crinoides,"Distribution and occurrence: Grows in maritime habitats on sandy soils; north from Bermagui.                                                         Often grows near the more slender, mat-forming D. congesta.NSW subdivisions: NC, CC, SC Other Australian states: Qld", grows in maritime habitats on sandy soils north from bermagui                                                         often grows near the more slender matforming d congesta  ,,,,,,,,,,,,,,,,,sand,sandy,,
Dianella intermedia,Distribution and occurrence: Endemic to Lord Howe Island and Norfolk Island. In grassy and rocky places in open forest and coastal areas. Fairly rare.NSW subdivisions: LHI, endemic to lord howe island and norfolk island in grassy and rocky places in openforest and coastal areas fairly rare  ,,,,,rare,rare,,,coastal,coastal,forest_open,openforest,,,,,soil_rocky,rocky,,
Dianella longifolia,"Distribution and occurrence: Common in sclerophyll forest; widespread.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP Other Australian states: Qld Vic. Tas. N.T. S.A. W.A.", common in sclerophyllforest widespread  ,,,,,common widespread,common widespread,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,,,,
Dianella longifolia var. longifolia,"Distribution and occurrence: Grows in sclerophyll forest or woodland, on sandy to clay soils; widespread on coast and tablelands extending west to Enngonia.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP Other Australian states: Qld Vic. Tas. W.A. S.A. N.T.", grows in sclerophyllforest or woodland on sandy to clay soils widespread on coast and tablelands extending west to enngonia  ,,,,,widespread,widespread,,,plateaus,tablelands,forest_sclerophyll woodland,sclerophyllforest sclerophyllforest woodland,,,,,clay sand,clay sandy,,
Dianella longifolia var. stenophylla,"Distribution and occurrence: Grows in sclerophyll forest, on clay loam soils; north from Batemans Bay, extending west to Kaputar N.P.NSW subdivisions: NC, CC, SC, NT, CT, NWS, CWS, NWP Other Australian states: Qld", grows in sclerophyllforest on clay loam soils north from batemans bay extending west to kaputar np  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,clay loam,clay loam,,
Dianella nervosa,"Distribution and occurrence: Grows in sclerophyll forest coastal ranges, on sandy and loamy soils; far north coastal ranges, north from Dalmorton.NSW subdivisions: NC Other Australian states: Qld", grows in sclerophyllforest coastal ranges on sandy and loamy soils far north coastal ranges north from dalmorton  ,,,,,,,,,coastal,coastal,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,loam sand,loamy sandy,,
Dianella porracea,"Distribution and occurrence: Grows in dry sclerophyll forest or mulga woodland, often on red loam soils; scattered in the area delimited by Narrabri–Griffith–Mootwingee–Euston.NSW subdivisions: CWS, NWP, SWP, NFWP, SFWP Other Australian states: Qld Vic. Formerly treated as a variety under D. longifolia but a distinctive inland taxon with usually strongly glaucous or grey-green leaves.", grows in drysclerophyllforest or mulga woodland often on red loam soils scattered in the area delimited by narrabriï¿½griffithï¿½mootwingeeï¿½euston  ,,,,,scattered,scattered,dry,drys,,,forest_dry_sclerophyll woodland_acacia woodland,drysclerophyllforest mulga woodland,red,red,,,loam,loam,,
Dianella prunina,"Distribution and occurrence: In the Sydney Basin, from the northern end of Wollemi National Park south to the Bundanoon area. extending east - west from sandstone areas in Sydney to the western edge of the  Blue Mountains. Grows in sclerophyll forest to c. 1000 m alt., on sandy soils.NSW subdivisions: CC, CT, CWS", in the sydney basin from the northern end of wollemi national park south to the bundanoon area extending east  west from sandstone areas in sydney to the western edge of the  blue mountains grows in sclerophyllforest to c 1000 m alt on sandy soils  ,,,,,,,,,mountains,mountains,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,sandstone,sandstone,sand,sands sandy,,
Dianella rara,Distribution and occurrence: Occurs in SE Qld so may be found on the far North Coast of NSW.NSW subdivisions:  Other Australian states: Qld, occurs in se qld so may be found on the far north coast of nsw  ,,,,,,,,,,,,,,,,,,,,
Dianella revoluta,"Distribution and occurrence: Grows in sclerophyll forest, woodland and mallee; widespread.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, SFWP Other Australian states: Qld Vic. Tas. S.A. W.A.", grows in sclerophyllforest woodland and mallee widespread  ,,,,,widespread,widespread,,,,,forest_sclerophyll mallee woodland,sclerophyllforest sclerophyllforest mallee woodland,,,,,,,,
Dianella revoluta var. revoluta,"Distribution and occurrence: Grows in sclerophyll forest, woodland and mallee communities, on various soils; widespread. All divisions except NFWPNSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, SFWP Other Australian states: Qld Vic. Tas. W.A. S.A. This name is currently being used in a very broad sense, and several species are likely to be segregated from it by GW Carr.", grows in sclerophyllforest woodland and mallee communities on varioussoils widespread all divisions except nfwp  ,,,,,widespread,widespread,,,,,forest_sclerophyll mallee woodland,sclerophyllforest sclerophyllforest mallee woodland,,,,,various,varioussoils,,
Dianella revoluta var. vinosa,"Distribution and occurrence: Grows in sclerophyll forest on higher ranges, on granite-derived sandy soils; north from Wollomombi Falls area and west to Emmaville.NSW subdivisions: NC, NT, NWS, NWP Other Australian states: Qld", grows in sclerophyllforest on higher ranges on granitederived sandy soils north from wollomombi falls area and west to emmaville  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,granitic,granitederived,sand,sandy,,
Dianella sp. Barrington Tops (J.R.Hosking 2859),Distribution and occurrence: NSW subdivisions: NT GW Carr intends to separate this from D. tasmanica,   ,,,,,,,,,,,,,,,,,,,,
Dianella sp. Euston (W.E.Mulham 831),Distribution and occurrence: NSW subdivisions: SFWP Other Australian states: Vic. To be separated from D. revoluta var. revoluta by GW Carr,   ,,,,,,,,,,,,,,,,,,,,
Dianella sp. Mt Kosciuszko (J.H.Maiden s.n. NSW149268),Distribution and occurrence: NSW subdivisions: ST Other Australian states: Vic. To be separated from D. tasmanica by GW Carr,   ,,,,,,,,,,,,,,,,,,,,
Dianella sp. Reservoir Hill (G.M.Cunningham 325),"Distribution and occurrence: NSW subdivisions: SWP, SFWP To be separated from D. revoluta var. revoluta by GW Carr",   ,,,,,,,,,,,,,,,,,,,,
Dianella tarda,"Distribution and occurrence: Western Slopes; also Victoria and South Australia. On clayey or loam soils, mostly on old floodplains, often in Eucalyptus camaldulensis riverine forest or woodland. Flowers are strongly fragrant (Dianthus-like).NSW subdivisions: NWS, CWS, ?SWS, ?SWP Other Australian states: Vic. S.A. Previously confused with D. longifolia. Opens later in the day (early to mid afternoon) than most other species.", western slopes also victoria and south australia on clayey or loam soils mostly on old floodplainss often in eucalyptus camaldulensis riverine forest or woodland flowers are strongly fragrant dianthuslike  ,,,,,,,,,slopes,slopes,floodplain forest woodland,floodplains forest woodland,,,,,clay loam,clayey loam,,
Dianella tasmanica,"Distribution and occurrence: Grows in sclerophyll forest, on shallow often sandy soils, also at higher altitudes, on coastal ranges and tablelands; south from near Dorrigo.NSW subdivisions: NC, CC, SC, NT, CT, ST, CWS Other Australian states: Vic. Tas.", grows in sclerophyllforest on shallow often sandy soils also at higher altitudes on coastal ranges and tablelands south from near dorrigo  ,,,,,,,,,coastal plateaus,coastal tablelands,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,sand,sandy,,
Dianella tenuissima,"Distribution and occurrence: In the Blue Mountains (CT) at 800-1200 m altitude; also the Illawarra Escarpment (CC). In moist pockets on escarpment cliffs and in fissures in sandstone and conglomerate rocks (Narrabeen Group); also in deeper soils of the forests and ravines at the edges of the escarpment.NSW subdivisions: CT, CC Unusual in the genus in being mostly cleistogamous, and having very thin roots (indicating more or less permanently moist habitats).", in the blue mountains ct at 8001200 m altitude also the illawarra escarpment cc in moist pockets on escarpment cliffs and in fissures in sandstone and conglomerate rocks narrabeen group also in deeper soils of the forests and ravines at the edges of the escarpment  ,,,,,,,moist,moist,cliff escarpments mountains,cliffs escarpment mountains,cliffs forest,cliffs cliffs forests,,,conglomerate sandstone,conglomerate sandstone,sand,sands,,
Geitonoplesium cymosum,"Distribution and occurrence: Widespread in coastal districts, and also on the ranges; LHI; Qld, Vic; Pacific Islands and Malesia. Grows in or near rainforest, in sclerophyll forest and woodland.NSW subdivisions: NC, CC, SC, NT, CT, ?ST, NWS, CWS, LHI Other Australian states: Qld Vic. Subspecies or forms are sometimes separated on the breadth of the leaves; but they are not recognized in this treatment. The narrow-leaved form is in all districts of NSW where the species is found, while the broad-leaved form is north from Dorrigo (NC). Sometimes placed in the Philesiaceae.", widespread in coastaldistricts and also on the ranges lhi qld vic pacific islands and malesia grows in or near rainforest in sclerophyllforest and woodland  ,XX,coastaldistricts,,,widespread,widespread,,,,,rainforest forest_sclerophyll woodland,rainforest sclerophyllforest sclerophyllforest rainforest woodland,,,,,,,,
Hemerocallis fulva,Distribution and occurrence: Commonly cultivated as an ornamental. Recorded once as naturalised near Wentworth Falls. Native to temperate eastern Asia.NSW subdivisions: *CT The naturalised taxon has been called H. fulva var. kwanso but that name is now considered to be a synonym of var. fulva (see World Checklist of Monocots)., commonly cultivated as an ornamental recorded once as naturalised near wentworth falls native to temperate eastern asia  ,,,,,,,,,,,cultivated,cultivated,,,,,,,,
Hemerocallis fulva var. fulva,Distribution and occurrence: NSW subdivisions: *CT,   ,,,,,,,,,,,,,,,,,,,,
Herpolirion novae-zelandiae,Distribution and occurrence: Grows in wet heath and swampy places in alpine areas; south from the Kosciusko district.NSW subdivisions: ST Other Australian states: Vic. Tas., grows in wetheath and swampy places in alpine areas south from the kosciusko district  ,,,,,,,wet,swampy,,,heath_wet alpine swamp,wetheath alpine swampy,,,,,,,,
Kniphofia uvaria,"Distribution and occurrence: Widley cultivated as an ornamental, occasionally naturalized or persisitng near old habitations. Native of S Afr.NSW subdivisions: *CT, *ST", widley cultivated as an ornamental occasionally naturalized or persisitng near old habitations native of s afr  ,,,,,,,,,,,cultivated,cultivated,,,,,,,,
Phormium tenax,"Distribution and occurrence: Recorded as naturalised near Katoomba and Lawson, Central Tablelands. Native to New Zealand and on Norfolk Island (considered introduced there by some people). .NSW subdivisions: *CT Commonly cultivated as an ornamental.", recorded as naturalised near katoomba and lawson central tablelands native to new zealand and on norfolk island considered introduced there by some people   ,,,,,,,,,plateaus,tablelands,,,,,,,,,,
Stypandra glauca,"Distribution and occurrence: Grows in sclerophyll forest and woodland; widespread, especially in eastern half of the State.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP, NFWP, SFWP Other Australian states: Qld Vic. W.A. S.A. Morphologically variable, variation apparently correlated with stage of growth. May be toxic to livestock if eaten when flowering.", grows in sclerophyllforest and woodland widespread especially in eastern half of the state  ,,,,,widespread,widespread,,,,,forest_sclerophyll woodland,sclerophyllforest sclerophyllforest woodland,,,,,,,,
Thelionema caespitosum,"Distribution and occurrence: Widespread and variable, apparently hybridizing with the other 2 species. White or yellow flowers are most common at higher altitudes.NSW subdivisions: NC, CC, SC, NT, CT, ST Other Australian states: Qld Vic. Tas. S.A. N.T. Widespread and variable, apparently hybridizing with the other 2 species. White or yellow flowers are most common at higher altitudes.", widespread and variable apparently hybridizing with the other 2 species white or yellow flowers are most common at higher altitudes  ,,,,,common widespread,common widespread,,,,,,,white yellow,white yellow,,,,,,
Thelionema grande,"Distribution and occurrence: Grows on sandy soils around granite outcrops, at altitudes above 800 m; north from Howell.NSW subdivisions: NT, NWS Other Australian states: Qld", grows on sandy soils around granite outcrops at altitudes above 800 m north from howell  ,,,,,,,,,rocky_outcrop,outcrops,,,,,granitic,granite,sand,sandy,,
Thelionema umbellatum,"Distribution and occurrence: Grows in heath to sclerophyll forest, on shallow sandy and peaty soils, to c. 1000 m alt.; south from Swansea.NSW subdivisions: CC, SC, CT, ST Other Australian states: Vic. Tas.", grows in heath to sclerophyllforest on shallow sandy and peaty soils to c 1000 m alt south from swansea  ,,,,,,,,,,,forest_sclerophyll heath,sclerophyllforest sclerophyllforest heath,,,,,peat sand,peaty sandy,,
Trachyandra divaricata,"Distribution and occurrence: Native of Cape Province, S Afr. Grows on coastal sand dunes; naturalized from Anna Bay to Shellharbour area. Also naturalised along coast of SA, WA and Vic (one old record only).NSW subdivisions: *NC, *CC Other Australian states: *W.A. *S.A. Dried inflorescence disperses as a tumbleweed (Heyligers 1999).", native of cape province s afr grows on coastal sanddunes naturalized from anna bay to shellharbour area also naturalised along coast of sa wa and vic one old record only  ,,,,,,,,,coastal,coastal,sanddunes,sanddunes,,,,,,,,
Tricoryne anceps,"Distribution and occurrence: Grows in sclerophyll forest and sometimes swampy areas, in lateritic, quartzitic and sandy soils; north from Woodburn area.NSW subdivisions: NC Other Australian states: Qld", grows in sclerophyllforest and sometimes swampy areas in lateritic quartzitic and sandy soils north from woodburn area  ,,,,,,,wet,swampy,,,forest_sclerophyll swamp,sclerophyllforest sclerophyllforest swampy,,,lateritic,lateritic,sand,sandy,,
Tricoryne anceps subsp. pterocaulon,"Distribution and occurrence: Grows in sclerophyll forest and sometimes swampy areas, in lateritic, quartzitic and sandy soils; north from Woodburn area.NSW subdivisions: NC Other Australian states: Qld", grows in sclerophyllforest and sometimes swampy areas in lateritic quartzitic and sandy soils north from woodburn area  ,,,,,,,wet,swampy,,,forest_sclerophyll swamp,sclerophyllforest sclerophyllforest swampy,,,lateritic,lateritic,sand,sandy,,
Tricoryne elatior,"Distribution and occurrence: Grows in sclerophyll forest, heath and woodland, sometimes in swamps on sandy loam and lateritic soils; widespread.NSW subdivisions: NC, CC, SC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP Other Australian states: Qld Vic. Tas. W.A. S.A.", grows in sclerophyllforest heath and woodland sometimes in swamps on sandy loam and lateritic soils widespread  ,,,,,widespread,widespread,wet,swamps,,,forest_sclerophyll heath swamp woodland,sclerophyllforest sclerophyllforest heath swamps woodland,,,lateritic,lateritic,loam sand,loam sandy,,
Tricoryne simplex,"Distribution and occurrence: Grows in sandstone derived soils in heath and wet sclerophyll forest; chiefly from Port Stephens to Nowra.NSW subdivisions: NC, CC, SC", grows in sandstone derived soils in heath and wetsclerophyllforest chiefly from port stephens to nowra  ,,,,,,,wet,wets,,,forest_wet_sclerophyll heath,wetsclerophyllforest heath,,,sandstone,sandstone,sand,sands,,
Xanthorrhoea acaulis,"Distribution and occurrence: Grows mainly in dry sclerophyll forest in sandy soils to the west of the Great Divide, in the area bounded by Narrabri and Pilliga in the north and Grenfell in the south.NSW subdivisions: NC, NT, NWS, CWS, NWP", grows mainly in drysclerophyllforest in sandy soils to the west of the great divide in the area bounded by narrabri and pilliga in the north and grenfell in the south  ,,,,,,,dry,drys,,,forest_dry_sclerophyll,drysclerophyllforest,,,,,sand,sandy,,
Xanthorrhoea arborea,"Distribution and occurrence: Grows in sclerophyll forest, usually in sheltered sites, in sand or on sandstone; from Rylstone to just south of Sydney.NSW subdivisions: CC, CT Packing bracts are dark brown at flowering.", grows in sclerophyllforest usually in sheltered sites in sand or on sandstone from rylstone to just south of sydney  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,sandstone,sandstone,sand,sand,,
Xanthorrhoea australis,"Distribution and occurrence: Grows in sclerophyll forest, south of Nowra.NSW subdivisions: SC, ST Other Australian states: Vic. Tas. S.A.", grows in sclerophyllforest south of nowra  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,,,,
Xanthorrhoea concava,"Distribution and occurrence: Often grows in seasonally waterlogged sites; from Sydney district south to Eden. There is one old record from the far North Coast, which needs investigation.NSW subdivisions: NC, CC, SC, CT, ST The spike appears distinctly velvety light brown from the long pale hairs on the packing bracts and outer tepals.", often grows in seasonally waterlogged sites from sydney district south to eden there is one old record from the far north coast which needs investigation  ,,,,,,,wet,waterlogged,,,,,,,,,,,,
Xanthorrhoea fulva,"Distribution and occurrence: Grows in periodically waterlogged sites in sand in coastal areas; north from Wyong.NSW subdivisions: NC, CC Other Australian states: Qld This species hybridizes with  X. glauca, the progeny sometimes resembling  X. resinifera. It is usually recognizable by its velvety cream to beige-coloured flowering spikes, and the pale hairs on the packing bracts. The inflorescence is variable in size; in small plants (young or in poor growing conditions) the inflorescences may be only 20cm high and very slender, with a spike as short as 2cm, while older plants in more favourable conditions may have stout inflorescences 2.5 m high.", grows in periodically waterlogged sites in sand in coastal areas north from wyong  ,,,,,,,wet,waterlogged,coastal,coastal,,,,,,,sand,sand,,
Xanthorrhoea glauca,"Distribution and occurrence: Widespread.NSW subdivisions: NC, NT, CT, ST, NWS, CWS, SWS, NWP, SWP Other Australian states: Qld There is some overlap of characters between the subspecies where their distributions abut.", widespread  ,,,,,widespread,widespread,,,,,,,,,,,,,,
Xanthorrhoea glauca subsp. angustifolia,"Distribution and occurrence: Usually grows on rocky (limestone, trachyte) and gravelly slopes; mainly along the ranges from the slopes of the Snowy Mts to Inverell.NSW subdivisions: NT, CT, ST, NWS, CWS, SWS, NWP, SWP Other Australian states: Qld Vic.", usually grows on rocky limestone trachyte and gravelly slopes mainly along the ranges from the slopes of the snowy mts to inverell  ,,,,,,,,,slopes,slopes,,,,,limestone trachyte,limestone trachyte,gravel soil_rocky,gravelly rocky,,
Xanthorrhoea glauca subsp. glauca,"Distribution and occurrence: On steep slopes and ridges mainly in rich basaltic soils and, at some sites in serpentine soils, and in deep coastal sand; from Newcastle to Byron Bay and inland to Ashford.NSW subdivisions: NC, NT, NWS Other Australian states: Qld Populations on the coastal dunes from Byron Bay to Newcastle hybridize with X. fulva and X. latifolia in distinct short-range hybrid swarms. These populations growing on sand cannot be distinguished morphologically from populations on the more typical rich basaltic soil substrates, although it appears unlikely for the one species to occupy such different habitats. [previously regarded as a hybrid between X. australis and X. latifolia]", on steepslopes and ridges mainly in rich basaltic soils and at some sites in serpentine soils and in deep coastal sand from newcastle to byron bay and inland to ashford  ,,,,,,,,,slopes_steep coastal ridges,steepslopes coastal ridges,,,,,basaltic,basaltic,sand,sand,,
Xanthorrhoea johnsonii,"Distribution and occurrence: Usually grows in sclerophyll forest and heath in well-drained sites; north from Singleton, widespread.NSW subdivisions: NC, CC, NT, NWS, CWS, NWP Other Australian states: Qld Extremely variable and may include more than one taxon but further study is needed.", usually grows in sclerophyllforest and heath in welldrained sites north from singleton widespread  ,,,,,widespread,widespread,,,,,forest_sclerophyll heath,sclerophyllforest sclerophyllforest heath,,,,,,,draining,welldrained
Xanthorrhoea latifolia,"Distribution and occurrence: Usually grows in sandy or gravelly soil in coastal regions; north from Wyong.NSW subdivisions: NC, CC Other Australian states: Qld", usually grows in sandy or gravelly soil in coastal regions north from wyong  ,,,,,,,,,coastal,coastal,,,,,,,gravel sand,gravelly sandy,,
Xanthorrhoea latifolia subsp. latifolia,"Distribution and occurrence: Usually grows in sandy or gravelly soil in sclerophyll forest; north from Wyong.NSW subdivisions: NC, CC Other Australian states: Qld Some specimens from between the Hawkesbury and Hunter Rivers, have prominent cluster bracts and triangular packing bracts and are hybrids with  subsp. glauca. Specimens north of the Hunter R. are smaller and more slender than the type and may be subspecifically distinct.Text by D. J. BedfordTaxon concept: Flora of NSW 4 (1993)", usually grows in sandy or gravelly soil in sclerophyllforest north from wyong  ,,,,,,,,,,,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,gravel sand,gravelly sandy,,
Xanthorrhoea latifolia subsp. maxima,"Distribution and occurrence: Grows in wet sclerophyll forest on the summit of Mt Warning and at Minyon Falls and Mebbin S.F.NSW subdivisions: NC Other Australian states: Qld This subspecies has distinctively large, swollen leaf bases which are sometimes dark red.", grows in wetsclerophyllforest on the summit of mt warning and at minyon falls and mebbin sf  ,,,,,,,wet,wets,,,forest_wet_sclerophyll,wetsclerophyllforest,,,,,,,,
Xanthorrhoea macronema,"Distribution and occurrence: Grows in sclerophyll forest on coastal sands and ranges; north from the Sydney region.NSW subdivisions: NC, CC Other Australian states: Qld Distinctive in its habit, with long thin scape and short brush-like spike, large cream to yellow flowers with inner tepals much larger than other species, long-pointed fruit with persistent styles and rounded glossy seed. Leaves longer (1–2 m) than in most species, with stomates in subsurface hair-lined chambers rather than singly as all other N.S.W. species.", grows in sclerophyllforest on coastal sands and ranges north from the sydney region  ,,,,,,,,,coastal,coastal,forest_sclerophyll,sclerophyllforest sclerophyllforest,,,,,sand,sands,,
