Species,GR (km2),EPD %,Habitat,IUCN category,"Listing (EPBC, State)",TEC
E. haemastoma,6065.1,37.9,U,VU,"NL, NL",
E. halophila*,2906.4,32.08,M,VU,"NL, NL",
E. hawkeri,104.7,35.95,M,VU,"NL, NL",
E. hebetifolia,"10,923.60",45.71,M,VU,"NL, NL",
E. ignorabilis,6636.4,41.73,M,VU,"NL, NL",
E. indurata,"13,481.50",37.74,P,VU,"NL, NL",
E. kartzoffiana,90.9,38.62,P,VU,"VU, VU",
E. kessellii,"14,228.60",34.03,M,VU,"NL, NL",
E. kitsoniana,3542.5,56.18,P,EN,"NL, NL",
E. kochii,"70,683.10",39.45,M,VU,"NL, NL",10
E. kondininensis,"23,808.10",71.96,P,EN,"NL, NL",10
E. lane-poolei,2798.2,35.45,M,VU,"NL, NL",
E. largiflorens,"517,812.00",43.2,P,VU,"NL, NL",7; 21; 23; 29
E. latens,"38,627.90",47.36,M,VU,"NL, NL",
E. leptophylla,"265,441.10",33.22,M,VU,"NL, NL",
E. leucoxylon,"117,729.00",42.56,M,VU,"NL, NL",20
E. litoralis,46.3,48.53,M,VU,"NL, NL",
E. longicornis,"170,442.30",52.59,P,EN,"NL, NL",10
E. longifolia,"16,483.50",30.03,P,VU,"NL, NL",5; 6; 15
E. loxophleba,"300,390.20",40.7,P,VU,"NL, NL",10
E. luehmanniana,1249.3,40.7,U,VU,"NL, NL",
E. macrocarpa,"24,731.30",49.05,M,VU,"NL, NL",
E. mckieana,9174,35.71,P,VU,"VU, VU",
E. melliodora,"425,282.30",44.95,P,VU,"NL, NL",17; 31
E. merrickiae,2602,38.07,P,VU,"VU, VU",
E. microcarpa,"242,583.00",67.75,P,EN,"NL, NL",3; 13; 20; 21; 31
E. mimica,556.1,78.01,P,EN,"NL, NL",10
E. moderata,"120,880.60",43.55,P,VU,"NL, NL",10
E. moluccana,"315,219.70",31.15,P,VU,"NL, NL",4; 6; 9; 25; 30; 31
E. morrisbyi*,107.2,51–95,N,CR,"EN, EN",
E. myriadena,"93,446.90",74.54,P,EN,"NL, NL",10
E. neutra,"34,136.70",70.56,P,EN,"NL, NL",
E. nicholii,9189.1,31.91,M,VU,"VU, VU",
E. nova-anglica,"20,934.80",30.95,P,VU,"NL, NL",19
E. obtusiflora,"69,607.10",30.14,M,VU,"NL, NL",10
E. occidentalis,"74,702.50",54.5,P,EN,"NL, NL",10
E. odorata,"44,839.40",78.26,P,EN,"NL, NL",12; 16; 20
E. ornans*,0,90,P,CR,"NL, T",
E. orthostemon,"41,655.70",51.53,M,EN,"NL, NL",10
E. ovata,"159,344.80",47.59,P,VU,"NL, NL",11; 18; 24; 26
E. peninsularis,4700.1,79.71,P,EN,"NL, NL",
E. petiolaris,4974.1,77.73,P,EN,"NL, NL",12
E. phaenophylla,"59,842.60",37.1,M,VU,"NL, NL",10
E. phenax,"188,548.20",38.63,M,VU,"NL, NL",10; 16
E. pileata,"92,437.90",33.94,P,VU,"NL, NL",
E. platypus,"32,820.70",58.62,P,EN,"NL, NL",
E. pleurocarpa,"42,037.80",30.35,M,VU,"NL, NL",22
E. pluricaulis,"97,796.40",46.96,M,VU,"NL, NL",
E. populnea,"859,188.90",36.14,P,VU,"NL, NL",2; 21; 29
E. porosa,"244,740.40",31.98,M,VU,"NL, NL",20
E. pyriformis,"31,785.70",49.42,M,VU,"NL, NL",
E. quaerenda,673.2,42.52,P,VU,"NL, NL",
E. recta,90,52.5,M,EN,"EN, VU",10
E. rhodantha,229.9,50.31,M,EN,"VU, NL",
E. rigens,2070.1,55.28,P,EN,"NL, NL",
E. risdonii,200.5,49.3,U,VU,"NL, NL",
E. sabulosa,8418.9,30.83,M,VU,"NL, NL",
E. salmonophloia,"287,718.30",36.5,P,VU,"NL, NL",
E. sargentii,"35,045.50",52.28,M,EN,"NL, NL",10
E. sheathiana,"44,085.60",49.21,M,VU,"NL, NL",10
E. silvestris,1700.5,94.21,P,CR,"NL, NL",10
E. spathulata,"17,748.50",76.21,P,EN,"NL, NL",10
E. splendens*,47,50.68,P,EN,"NL, NL",
E. sporadica,"69,764.60",37.46,M,VU,"NL, NL",10
E. squamosa,7021.5,31,U,VU,"NL, NL",
E. strzeleckii,6479,66.71,P,EN,"VU, T",
E. subangusta,"113,962.80",38.83,M,VU,"NL, NL",
E. suggrandis,"33,241.10",31.67,M,VU,"NL, NL",
E. thamnoides,"39,126.80",44.17,M,VU,"NL, NL",10
E. tumida,"24,808.10",44.94,P,VU,"NL, NL",
E. uncinata,"93,976.50",35.58,M,VU,"NL, NL",
E. valens,"10,652.90",50.49,P,EN,"NL, NL",
E. varia,"10,899.50",37.4,M,VU,"NL, NL",
E. vegrandis,8988.8,41.58,M,VU,"NL, NL",
E. vesiculosa*,67.6,35.01,P,VU,"NL, NL",
E. wandoo,"92,897.30",39.11,M,VU,"NL, NL",10
E. wimmerensis,9163.1,45.8,M,VU,"NL, NL",
E. woollsiana,"178,502.50",56.19,P,EN,"NL, NL",8; 10
E. wubinensis,"17,988.60",50.95,P,EN,"NL, NL",
E. xanthonema,"22,012.40",43.17,M,VU,"NL, NL",2; 21
E. yarraensis,"13,669.70",62.81,P,EN,"NL, NL",10
