taxon_name,distribution,,,,,
Prostanthera eurybioides,"The Monarto mintbush is endemic to South Australia (SA) and has a restricted distribution in two disjunct localities in the south-east of SA: in Monarto near Murray Bridge, and in the Mt Monster area near Keith (Map 1). It is found in the Kanmantoo bioregion, a biodiversity hotspot (Environment SA n.d.). Given the specific habitat requirements of this species, it is likely that there are few unknown subpopulations, though some subpopulations on private property may remain undiscovered (Pound et al. 2010). As of 2010, it was estimated that the total population has approximately 2233 individuals, consisting of 1216 naturally occurring plants and 1017 translocated plants (Pound et al. 2010). As of 2018, the total population was estimated at 2084 individuals, consisting of 1250 naturally occurring plants and 834 translocated plants (Moritz et al. 2018). Translocations of the Monarto mintbush have occurred as the result of numerous projects since at least 1995 (Jusaitis 2010; Pound et al. 2010; Jusaitis 2018; Moritz et al. 2018). The majority of these translocations have been either reinforcement (supplemental) or reintroduction translocations (sensu IUCN SSC 2013). In order to be counted as part of the wild population for the purpose of listing assessments, translocated plants must have survived for at least 5 years and have produced mature offspring (or offspring that are likely to reach maturity) (IUCN SPC 2022). Many translocated Monarto mintbush plants have produced viable seed and seedlings, especially at Mt Monster, while some at Monarto have only flowered with no signs of natural recruitment (Jusaitis 2010). However, large quantities of viable seed were produced at Monarto in 2017 (Moritz et al. 2018). More recent translocations have not been included in population counts (DEW 2021).

Monarto area Moritz et al. (2018) estimated that there are approximately 909 individuals within the general Monarto area, including 682 translocated (planted) individuals. Some Monarto sites have been supplemented with planted individuals (reinforcement), and others consist only of planted individuals (reintroduction) (Moritz et al. 2018). Supplementary plantings began in 1995, as part of a study focussing on the impact of fencing on the survival of seedlings (Jusaitis 2010). In 2003, State Flora Murray Bridge planted approximately 1000 individuals at Rocky Gully Reserve, however by 2005 only 452 of these remained (Obst 2005; Pound et al. 2010). Other sites included 130 individuals planted within the grounds of Monarto Zoo, 67 in the south-western

portion of a Heritage Agreement at Monarto (Jusaitis & Smith 1999) and 196 that were translocated to Section 530 in the Hundred of Monarto (see SA OSG 1979) (Jusaitis et al. 1998). Subsequent translocations from 2013 to 2015 resulted in 218 plants surviving after 2 years, with a 52% survival rate and 70% of surviving individuals flowering (Moritz et al. 2018).

The remnant subpopulation of Monarto mintbush at Monarto has remained relatively stable between 2004 and 2020, apart from one small property, where numbers reduced dramatically over time (DEW 2021). It is notable that these are very small remnants that were left with grazing and no active management (other than weed control). During this period, the largest natural subpopulation saw a small reduction in numbers from 143 plants to 139 plants, which was supplemented with a small amount of planting (DEW 2021). Significant mortality of planted individuals was observed in Kinchina Conservation Park, which dropped from 461 plants to 73 plants (DEW 2021). However, this is likely a result of poor planting location. These plants were planted into an open area, where they have been subject to high grazing pressure (DEW 2021). This unfavourable environment is likely the cause of lack of recruitment (DEW 2021).

It is notable that these subpopulation figures (Table 1) do not include other more recent plantings at Monarto, some of which are reported to be doing very well (DEW 2021). These sites have not been included in official subpopulation counts as no decision has been made as to at what age to count them (for example, which time since planting/survival/flowering is the correct time to add to databases) (DEW 2021).

Table 1 Monarto mintbush subpopulation records at Monarto

Subpopulation nameSite numberNumber ofNatural or planted Date of last a plantssurvey Property 1153Both8/12/2020 21Natural8/12/2020 32Natural8/12/2020 43Natural8/12/2020 1139Both30/11/2020Property 2 /Heritage Agreement 322Planted1/01/2016 24Both0/01/2016Property 2 421Planted30/11/2020 Property 311Natural1/11/2013 Kinchina Conservation Park173Both17/11/2020 228Both16/03/2021 33Natural1/01/2016 40Natural26/02/2021 1162Planted1/01/2016Monarto Zoo 267Planted17/11/2020 137Planted1/01/2016Maurice Road

Source: DEW 2021; Note: a Both = data source does not differentiate between remnant or planted.

Mt Monster A February 2007 survey of the Mt Monster area found approximately 1175 individuals, with subpopulations occurring within the Mt Monster Conservation Park and surrounding areas including Christmas Rocks, Kongal Rocks and Monster Rock (Johnson, pers comm 2007 cited in

Pound et al. 2010). Of this total, Pound et al. (2010) estimated that 1023 plants were naturally occurring and 152 individuals were planted. The planted individuals are the survivors of 182 plants propagated from locally collected seed which were translocated during 1997 and 1998 to Christmas Rocks, Kongal Rocks and the southern boundary of Mt Monster Conservation Park (Jusaitis & Smith 1999). In 2018, the Mt Monster subpopulation was again estimated to consist of 1175 individuals, including 152 which had been planted (Moritz et al. 2018).

Map 1 Modelled distribution of the Monarto mintbush

Source: Species distribution data Species of National Environmental Significance database, Base map Geoscience Australia. Caveat: The information presented in this map has been provided by a range of groups and agencies. While every effort has been made to ensure accuracy and completeness, no guarantee is given, nor responsibility taken by the Commonwealth for errors or omissions, and the Commonwealth does not accept responsibility in respect of any information or advice given in relation to, or as a consequence of, anything contained herein. Species distribution mapping: The species distribution mapping categories are indicative only and aim to capture (a) the specific habitat type or geographic feature that represents recent observed locations of the species (known to occur) or preferred habitat occurring in close proximity to these locations (likely to occur); and (b) the broad environmental envelope or geographic region that encompasses all areas that could provide habitat for the species (may occur). These presence categories are created using an extensive database of species observations records, national and regional-scale environmental data, environmental modelling techniques and documented scientific research.

Cultural and community significance

The cultural, customary and spiritual significance of species and the ecological communities they form are diverse and varied for Indigenous Australians and their stewardship of Country. This section describes some examples of this significance but is not intended to be comprehensive or applicable to, or speak for, Indigenous Australians. Such knowledge may be held by Indigenous Australians who are the custodians of this knowledge and have the rights to decide how this knowledge is shared and used.

The known subpopulations of the Monarto mintbush are found on the land of the Bindjali and Ngarrindjeri cultural and dialectal groups (AIATSIS 2022).",x,,,,
Pterostylis x aenigma,altitude of 950 m above sea level (Duncan 2008). The enigmatic greenhood occurs in moist flats along floodplains of small streams in tall open forest on moisture-retentive clay loam (Duncan 2008).,x,,,The enigmatic greenhood can multiply by daughter tubers and thus it is difficult to ascertain as to whether each individual plant represents a separate genetic entity (Duncan 2008).,
Pultenaea sp. Genowlan Point (NSW 417813),clifftop escarpment,x,,,,
Samadera sp. Moonee Creek (J.King s.n. Nov. 1949),"in moist shrubby open eucalypt forest on slopes or riparian rainforest gullies, and occasionally in dry open forest with a heathy understorey (NSW OEH 2011, 2020). Associated soils include metasediments et sclerophyll forest all dry Eucalypt forests ",x,,,,
Senecio behrianus,,x,,,,
Spyridium obcordatum,,x,,,,
Symonanthus bancroftii,,x,soil_seedbank ; post_fire_recruitment,,,
Verticordia fimbrilepis subsp. fimbrilepis,"grows in low-lying shallow grey sand and yellowish-white sandy loam over gravel, sometimes with clay. It is found in low heath and scrubland, as well as open Eucalyptus wandoo woodland (George 2002)",x,,,,
Darwinia apiculata,"open Jarrah-Marri Woodland on shallow gravelly soil over laterite, or open heathland over sandy loams with granite boulders (DEC 2009). I",x,,,,
Darwinia carnea,grows on an exposed lateritic gravel hilltop in dark yellow brown sandy loam soil with gravel over the lateritic duri-crust. Vegetation of the Narrogin populations consists of very low open woodland,x,,,,
Daviesia microcarpa,,x,soil_seedbank ; post_disturbance_recruitment,,,
Epacris apsleyensis,,x,,,populations are estimated to have been declining at a rate of 5-25% per year due to Phytophthora cinnamomi infection.,
Epacris exserta," land along a riverbank.
",x,,,,
Epacris glabella,,x,,,,
Epacris grandis,,x,,,,
Epacris virgata,undulating terrain,x,,,,
Eriocaulon carsonii, spring complexes   endemic to discharge springs ,x,,,,
Eucalyptus x balanites,,x,,,,
Hemiandra rutilans,habitat comprises low woodland  ). The soil type is deep grey sand,x,,,,
Maireana cheelii,,x,,,,
Olearia macdonnellensis,"largely confined to a single valley, where it occurs in gullies and drainage lines at the base of rocky slopes (which provide a sheltered microclimate) and on breakaways, shale outcrops, and steep hillslopes
(Cooke 1986). Mesic gullies and rocky slopes are refuges embedded within dominantly drier landscapes (Soderquist & MacNally 2000)",x,fire_killed ; fire_avoider,,,
Acacia axillaris," watercourses or soaks. H extends onto surrounding slopes, such as boulder scree above riparian zones (Simmons, 1982; Barker and Johnson, 1998; Johnson and Barker, 1998; Lynch et al., 1999). Slopes are gentle and disturbance by floods is usually frequent (Lynch et al., 1999). Most stands are on dolerite, although the species also occurs on sedimentary rocks and alluvium (Lynch et al., 1999).",x,,,,
Acacia deuteroneura,knoll of weathered sandstone,x,,,,
Acacia equisetifolia," grows on rocky sandstone slopes at cliffline in sandstone woodland, ",x,,,,
Acacia eremophiloides," grows on exposed rocky granite ridges in shallow, sandy, well- drained, weakly acidic soils (Pedley and Forster, 1986).",x,,,,
Acacia grandifolia,grows on hilly terrain of varying aspect and slope.,x,post_dusturbance_recruitment,,,
Acacia lauta,", on sandy soils in open woodland (Maslin, 2005). ",x,,,,
Adenanthos velutinus,"grows in peaty soils, among rocks, ",x,,,,
Androcalva procumbens,"occurs in sandy soils, often in disturbed habitats such as road verges, quarry boundaries, gravel stockpiles, and power line easements (Ayers et al., 1996; Gross & Mackay, 1998; Harden, 2000; DECC NSW, 2005a). R. procumbens is often found in communities of Eucalyptus dealbata-E. sideroxylon woodland, Melaleuca uncinata shrubland, and mallee eucalypt with Calytrix tetragona understorey (Ayers et al., 1996; DECC NSW, 2005a).",x,,,,
Aponogeton prolifer,"aquatic herb known only from creeks running through rainforest margins occurs in narrow, shallow and heavily shaded coastal streams (Hellquist & Jacobs, 1998). ",x,,,,
Archidendron lovelliae,margins of subtropical lowland rainforest and wet sclerophyll forest on deep coastal sands ,x,,,,
Aristida annua,"a occurs in eucalypt woodland (BRI collection records, n.d.; Simon, 1984; 1992). It is restricted to black clay soils (Simon, 1984), basalt soils and possibly disturbed sites.",x,,,,
Aristida granitica, grows in sandy soil derived from granite sand in eucalypt woodland ,x,,,,
Asterolasia grandiflora," grows on lateritic loam in open woodland of Drummond's Gum (Eucalyptus drummondii), Wandoo (E. wandoo) and Marri (Corymbia calophylla), over heath dominated by Dwarf Sheoak (Allocasuarina humilis), Common Woollybush (Adenanthos cygnorum), Many- headed Dryandra (Banksia polycephala) and Catkin Grevillea (Grevillea synapheae) (Kelly et al., 1990). ",x,,,,
Astrotricha crassifolia,"grows on dry ridgetops to 300 m altitude (Benson & McDougall, 1993) and is associated with very rich heath, or dry sclerophyll woodland (Harden, 1992). Vegetation associations include typical sandstone genera such as Hakea, Banksia and Xylomelum (Benson & McDougall, 1993).",x,,,,
Atalaya brevialata,"grows in woodland  in the overstorey with an open layer of perennial grasses . It usually occurs on sandy soils in footslopes, often with a surface gravel layer. sometimes grows in low woodland in more poorly drained situations but on more gravelly, slight rises.",x,,,,
Atriplex infrequens,"associated with broad drainage tracts, clay flats and possibly occasionally inundated habitats.",x,,,,
Austrostipa metatoris,"grows in sandy mallee areas of the Murray Valley. Habitat includes sandhills, sand ridges, undulating plains and flat open mallee country, with red to red-brown clay-loam to sandy-loam soils (DECC NSW, 2005a). Associated species include the trees and shrubs Bimble Box (Eucalyptus populnea), Gum Coolibah (E. intertexta), White Cypress Pine (Callitris glaucophylla), Belah (Casuarina cristata), Sweet Quandong (Santalum acuminatum), Sticky Hopbush (Dodonaea viscosa), Hakea ivoryi, and the grasses Austrostipa drummondii and A. eremophila (Ayers et al., 1996; DECC NSW, 2005a).",x,,,,
Azorella macquariensis," in feldmark vegetation, ",x,,,,
Banksia serratuloides subsp. perissa,grows in lateritic gravel and brown loam on ridge tops and slopes or in red-brown sand on lower areas. This subspecies favours areas of low dense heath but can also be found in low open woodland. ,x,,,,
Barbarea australis," near river margins, creek beds and along flood channels in shallow alluvial silt on rock slabs, rocky ledges, or between large cobbles. ",x,,,,
Beyeria lepidopetala,"growing in varied habitats such as yellow sandy clay in a gully in low heath, in turn situated in an area of open mallee woodland regenerating after fire, and low regenerating heath on a limestone ridge above a gully. The most northerly population grows in shallow sand over sandstone.
",x,,,,
Boronia gunnii," grows in a riparian habitat, occurring in the flood zone of rivers in rock crevices or in the shelter of boulders, and on a substrate of Jurassic dolerite. A",x,,,,
Bossiaea oligosperma," occurs in eucalypt woodland, including Grevillea aspleniifolia (Benson & McDougall, 1996). It grows on stony slopes or sandstone ridges in the Yerranderie area and on loamy soil in the Windellama area (DECC, 2005a). ",x,,,,
Bothriochloa bunyensis," on relatively fertile krasnozem (dark brown) soils derived from basalt on upper slopes and hill crests at altitudes of 600-1100 m, in grassland or woodland with a grassy understorey (Halford, 1998). ",x,,,,
Brachychiton sp. Ormeau (L.H.Bird AQ435851),"grows in riparian rainforest. It occurs near small streams in rocky gorges comprised of metasedimentary rocks among microphyll vine forest; and on quaternary alluvium near larger streams in notophyll vine forest communities. It seems to favour undisturbed rainforest, ",x,,,". It is a long-lived perennial that reaches sexual maturity at approximately 20 years and 20-30 cm diameter at breast height (DBH) in the wild (Weber, pers. comm., 2012). Its life expectancy is greater than 100 years and its natural mortality is estimated to be greater than 120 years (Weber, pers. comm., 2012). Rate of decline through senescence is estimated to be six per cent over the next 100 years or two generations.",
Brachyscias verecundus," endemic to winter-wet clay over ironstone, in open to tall shrubland (Luu & English, 2004). ",x,,,,
Brachyscome muelleri," on a steep, south facing slope of a gorge Soils at the site are gravelly red to brown friable loams overlying bedrock and interspersed with rocky outcrops (Jusaitis et al. 1998).",x,,,,
Bulbophyllum gracillimum, occurs in rainforest at an altitude of 300-400 m. ,x,,,,
Bulbophyllum longiflorum,"in rainforests, usually in humid locations where there is plenty of air movement, such as ridge tops, slopes and along stream banks (Jones, 1988). ",x,,"epiphyte, lithophyte",,
Burmannia sp. Bathurst Island (R.Fensham 1021),"spring-fed rainforest patches  recorded from wet rainforests, growing in permanently wet habitat that has probably been disturbed by occasional floodwater (Fensham, 1993), and out of damp peat in raised areas (Kerrigan et al., 2007).
 habit requires soils with significant amounts of organic matter",x,,,,
Caladenia xantholeuca," occurs in Callitris glaucophylla woodland, often on south- facing slopes in heavily shaded areas, where it grows on mossy rock ledges and red-brown loam soils (Quarmby, 2006).",x,,,,
Calytrix gurulmundensis," occurs on ridge tops in open scrubland with sparse stunted Eucalyptus spp., Acacia spp., and Casuarina, in Triodia-hummock grassland with scattered shrubs, and growing on yellow lateritic sandy clay, shallow red gravelly soil and sandstone (Craven, 1987). ",x,,,,
Dendrobium carronii," occurs at altitudes of 200-600 m above sea level. It is found in stunted open forest, particularly adjacent to low-lying areas that are subject to periodic inundation. It is often found growing on Melaleuca viridiflora (Jones, 2006) and also on Xanthostemon crenulatus and Swamp Turpentine (Lophostemon suaveolens) in swamp forests (Lavarack & Cribb, 1982; Lavarack & Gray, 1985; Dockrill, 1992; Lavarack et al., 2000). Dendrobium carronii is locally common within its restricted range (Jones, 2006).",x,,,,
Chamelaucium sp. Cataby (G.J.Keighery 11009)," does not appear to be site selective, growing in brown loam, sandy clay and lateritic gravel between laterite boulders on the slopes, edge and base of breakaways (Brown et al., 1998; Patrick & Brown, 2001; DEC, 2008). This species occurs in dense, low heath  under open low woodland ",x,,,,
Chorizema varium," grow on low coastal heath in shallow soil over limestone, in association with other shrubs ",x,,,,
Colobanthus curtisiae,"vegetation types ranging from lowland Poa and Themeda grasslands, to grassy and shrubby woodland/forests and rockplates. It occurs on gentle slopes with elevations of between 160 m in lowlands areas and 1300 m in alpine areas. Rainfall varies from 530 mm in the Midlands area to 1400 mm on Ben Lomond. The species is most commonly found on soils derived from sandstone as well as clay loams derived from dolerite and basalt. It can persist in remnant grasslands, which may be grazed by stock (TSU, 2001).",x,,,,
Ozothamnus eriocephalus," grows on rocky escarpments, slopes and creek gullies in closed rainforest margins and open eucalypt forest (BRI collection records, n.d.). ",x,,,,
Ozothamnus reflexifolius,"occurs on a steep west to north-west facing dolerite slope, with plants occurring in either Allocasuarina woodlands, open heath, or emerging from crevices of sheer dolerite slabs (DPIWE, 2004). ",x,,,,
Paragoodia crenulata," growing on stony red loam soil, and occurs in association with Melaleuca (paperbarks) and Acacia species (Durrell and Buehrig, 2001)",x,,post_fire_recruitment,,
Pelargonium sp. Striatellum (G.W.Carr 10345)," occur in habitat usually located just above the high water level of irregularly inundated or ephemeral lakes. During dry periods, the species is known to colonise exposed lake beds.",x,,vegetative_reproduction; rhizome, vegetative mode of propagation ,
Persicaria elatior," grows on sandy, alluvial soil in swampy areas and riparian herblands along watercourses and lake edges. commonly grows in wetland areas at Couran Cove Island Resort and is found in waterholes under Livistona australis (BRI, n.d.; Couran Cove Island Resort, 2008).",x,,,,
Petrophile latericola, inhabits both tall and low heath on winter-wet flats of red sandy clay over ironstone with,x,,,,
Phaius bernaysii," grow along the margins between open forest/woodland and closed sedgeland, along the perimeter of a swamp, often in a fairly shady environment in Melaleuca quinquenervia-Eucalyptus robusta open forest in sandy or peaty soil ",x,,,,
Phebalium whitei," in heathland in granite soil, cracks in granite rock, among granite pavement and boulders along a creek and on or near a wet creek bank in shallow soil (BRI collection details, n.d.). ",x,,,,
Philotheca freyciana," scattered occurrence through the massive granite monolith known as The Hazards, within the Freycinet National Park, occurring from just above sea level to the higher elevations (10-440 m).   occurs exclusively on Devonian granite, growing either in crevices or shallow soils in the runnels within the massive granites",x,,,,
Philotheca wonganensis,grows in red soil over fractured or schisotose greenstone in dense shrubland 3-5 m tall with sparse ground cover and open woodland with shrubland understorey,x,,,,
Phlegmariurus filiformis," in complex vine forest (Chinnock, 1998)",x,epiphyte,,,
Phlegmariurus delbrueckii," or rainforest trees, growing above an altitude of 800 m (Chinnock, 1998). ",x,,epiphyte lithophyte,,
Pimelea leptospermoides," grows on stony hillsides and sandy clay in Eucalyptus fibrosa and Corymbia xanthope open woodland (BRI collection records, n.d.; Rye, 1990, p. 172). widespread on serpentine soils ",x,,,,
Pimelea spinescens subsp. pubiflora,s occur on level ground with a loamy soil type. The Natimuk population occurs on a roadside reserve in a grassland dominated by spear grasses and wallaby grasses,x,,,,
Pimelea venosa," grows on granite outcrops among granite boulders (Harden, 1990; Rye, 1990; NSW NPWS, 1999) in skeletal (NSW NPWS, 1999) or black sandy soil (Rye, 1990; NSW NPWS, 1999). The associated vegetation is open woodland or open forest dominated by Eucalyptus spp.",x,,,,
Pityrodia augustensis, grows on rocky hillsides ,x,,,,
Coleus gratus," inhabits rock outcrops of granite or basalt in either wet Eucalypt forest or vine forest (Queensland Herbarium, 2008).",x,,,,
Coleus habrophyllus, occurs on rock outcrops of sandstone or chert in shaded situations in eucalypt woodland often close to vine forest. ,x,,,,
Coleus leiperi," on rhyolite and granite rock outcrops and pavements in eucalypt forest (Forster, 1994; Queensland Herbarium, 2008). ",x,,,,
Coleus nitidus," in gullies and on boulders in rainforest or open forest on the margins of rainforest (Queensland Herbarium, 2008). ",x,,,,
Coleus omissus,"grows on rock outcrops in eucalypt open forest and adjacent to vine forest (Queensland Herbarium, 2008). T",x,,,,
Coleus torrenticola,", in open heathland on rock outcrops; in eucalypt open forest close to margins of rainforest; and often along creek lines (Forster, 1992; Halford, 1998). ",x,,,,
Angianthus phyllocalymmeus,"occurs on sandy loams to clay loams (Short, 1983) or light clays (DENR- EGIS, 2006, cited in Pobke, 2007). Sites are sometimes gypseous (Symon, 2007). The species occurs on the margins of coastal saline lakes and depressions (Short, 1983; Jessop & Toelken, 1986), and low lying stream channels and watercourses (DENR-EGIS, 2006, cited in Pobke, 2007). On Eyre Peninsula the species predominantly occurs in shrubland and grassland (Davies, 1995; Pobke, 2007) and on Yorke Peninsula it occurs in herbland (Green, 1993). Associated vegetation is salt-tolerant (Pobke, 2007).",x,,,,
Pneumatopteris truncata," grows in colonies on permanently moist sites in semi-deciduous closed forest between 50 and 140 m elevation (Du Puy, 1993; Holmes & Holmes, 2002). There is little information on the habitat requirements of this species.",x,,vegetative_reproduction,,
Pomaderris clivicola,"la occurs on a steep south-facing slope, in red volcanic soils, below outcropping rock. Associated vegetation includes Eucalyptus cloeziana and Corymbia citriodora tall open forest with an open understorey of semi-evergreen vine thicket species, such as Owenia venosa, Zanthoxylum brachyacanthum, Alstonia scholaris and Caesalpinia scortechinii. At Walla Range, this species occurs on variously facing slopes, in grey soil with occasional rock. It grows in open forest, and on the edge of and within dry scrub. Some plants occur in a cleared open grassy area (Ross, 1990; Queensland Herbarium 1999, pers. comm.)",x,,,,
Pomaderris pilifera subsp. talpicutica,"adapted to very impoverished, dry sites. ",x,,,,
Prasophyllum atratum, sedgy heathland habitat ,x,,,,
Prasophyllum crebriflorum,,x,fire_stimulated_flowering resprouts,,,
Prasophyllum goldsackii," occurs in areas of light-coloured limestone, reddish-brown soils and sands containing lime. Eucalyptus woodland, shrubland, sedgeland and heathland. ",x,,,,
Prasophyllum incorrectum,"occurs in relatively damp native grasslands on grey sandy loam soils dominated by Themeda triandra (Kangaroo Grass), and in grassy woodland with eucalypts and Banksia marginata (Jones, 2003).",x,,,,
Prasophyllum innubum," grows beside small streams and peatland Sphagnum hummocks, in adjacent grassy flats and also extending into open woodland, at approximately 1200 m above sea level (Jones, 2007).",x,,,,
Prasophyllum keltonii,"grows on a tussock grassland plain, in moisture retentive brown loam at ",x,,," The species is not known to reproduce vegetatively (Branwhite, pers. comm., 2009).",
Prasophyllum laxum,"The Cockatoo Hill population occurs ""under Sheoaks on an isolated hill of laterite and quartz"" (State Herbarium of South Australia, 2013). At this location the species ""grows under drooping sheoaks (Allocasuarina verticillata), in red-brown earths, above and around minor sandstone outcropping on a small isolated hill with sparse sugar gum (Eucalyptus cladocalyx) woodland"" (Bates, 2008). This habitat remnant is surrounded by grazed paddocks (Bates, 2008). The species is reported as growing in open sheoak woodland over an understorey of sedges, tussocks and grasses, and occurs on relatively fertile loamy soils of neutral pH and is absent from calcrete or poor calcareous soils (Bates pers. comm., 2014). ",x,,,,
Prasophyllum limnetes, marshy heath/sedgeland habitat n,x,,,,
Prasophyllum murfetii," on swampy sites in low-lying areas around the margins of permanent water bodies and lakes (  found on brown to black wet loam, 0-300 m above sea level (Jones, 2000)",x,,,,
Prasophyllum pallidum, well-grassed open forests ,x,,,,
Prasophyllum pruinosum,"range of open woodland habitats, usually with an overstorey of Eucalyptus   recorded from a range of soil types from sandy loams to heavy clays (Bates, 2008; State Herbarium of South Australia, 2009). ",x,,,,
Prasophyllum taphanyx, grows in native grassland dominated by Kangaroo Grass (Themeda triandra) and Spear Grasses (Austrostipa spp.) on well drained basaltic loams. ,x,,,,
Prasophyllum wallum,"occurs in south-east Queensland, in wallum communities and adjacent stabilised dunes (Jones, 1991) and coastal Melaleuca swamp wetlands (Joyce, 2006). ",x,,,,
Prostanthera calycina, usually found on limestone outcrops in mallee vegetation. ,x,,,,
Prostanthera clotteniana,"confined to the rocky, rhyolite areas in the drier woodlands on steep hills ",x,,,,
Prostanthera nudula," associated with granite outcrops, often near watercourses,  granite inselberg ",x,,,,
Prostanthera schultzii,"occurs on shady upper slopes and tops of quartzite mountains and ranges, particularly on southerly aspects, and grows in shallow soils.",x,,,,
Prostanthera sp. Dunmore (D.M.Gordon 8A), grows in Eucalyptus and Callitris woodland in shallow sandy soil or Eucalyptus woodland on hard sandstone ridge tops,x,,,,
Prostanthera spathulata,"occurs in shrubland on rocky hillslopes and in tall open forest on gentle slopes or flat coastal plains (QLD CRA/RFA Steering Committee, 1998). ",x,,,,
Pterostylis bryophila,"occurs in grassy woodlands dominated by South Australian Blue Gum (Eucalyptus leucoxylon) and Pink Gum (Eucalyptpus fasciculosa). It is found in moist, shady, mossy areas with fertile loamy soils, usually with a southerly aspect (Quarmby, 2006; TSSC, 2006b).",x,,,,
Pterostylis sp. Hale (R.Bates 21725),"occurs in mallee and broombush communities, in sandy soils. In contrast, at Hale Conservation Park, it occurs in an area with Callitris rhomboides overstorey, and understorey dominated by heath (D. Bickerton, 2008, pers. comm.).",x,,,,
Ptychosema pusillum," inhabits low, open woodland of Slender Banksia (Banksia attenuata), Firewood Banksia (B. menziesii) and Eucalyptus todtiana over scrub with Common Woollybush (Adenanthos cygnorum) and Yellow Buttercups (Hibbertia hypericoides). In the north, it occurs on the upper slopes of a high sand ridge.  and the other is found throughout open vegetation and firebreaks (Kelly et al., 1990; Brown et al., 1998; Patrick & Brown, 2001).",x,,,,
Pultenaea pauciflora,"found growing in white sand over laterite, in association with open woodlands of Wandoo (Eucalyptus wandoo), Marri (Corymbia calophylla), and Parrot Bush (Dryandra sessilis) (Brown et al., 1998).",x,,,,
Pultenaea trichophylla,,x,,,,
Rhaphidospora bonneyana,"in gullies or on the tops of rocky mesas (Barker, 1986).",x,,,,
Leuzea australis,"grows in eucalypt open forest with grassy understory on roadsides and on road reserves with Chloris gayana, Cirsium vulgare, Eucalyptus tereticornis and Angophora floribunda on black clay soil (BRI collection records, n.d.). ",x,,,,
