taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,soil_moisture_a,soil_moisture_f,substrate_a,substrate_f
Abutilon theophrasti,Naturalised all mainland States Native to Mediterranean region Asia Occurs in clay soil in shallowly inundated areas eg Hattah Lakes Lake Wallawalla Kerang Natimuk areas,Naturalised all mainland States Native to Mediterranean region Asia Occurs in clay soil in shallowly inundated areas eg Hattah Lakes Lake Wallawalla Kerang Natimuk areas,NA,NA,NA,NA,NA,NA,NA,NA,clay,clay,NA,NA,NA,NA
Acacia acanthoclada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acanthoclada subsp. acanthoclada,Grows in far northwest Victoria particularly on sandhills,Grows in far northwest Victoria particularly on sandhills,NA,NA,sandhills,sandhills,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acinacea,Widespread though all but eastern and southern Victoria growing mostly in sandy or gravelly soils in hilly country in eucalypt woodland heathland and open mallee scrub,Widespread though all but eastern and southern Victoria growing mostly in sandy or gravelly soils in hilly country in eucalypt woodlandheathland and open malleescrub,NA,NA,mallee,mallees,NA,NA,NA,NA,gravelly sand,gravelly sandy,NA,NA,NA,NA
Acacia aculeatissima,Widespread and sometimes locally abundant often growing in rocky areas in Eucalyptus woodland or forest or closed heath,Widespread and sometimes locallyabundant often growing in rocky areas in Eucalyptus woodland or forest or closed heath,locally_abundant,locallyabundant,forest woodland,forest woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia acuminata,Native to Western Australia plants occasionally escaping cultivation in Victoria,Native to Western Australia plants occasionally escaping cultivation in Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia alpina,Confined to alpine and subalpine areas where sometimes locally common and occasionally forming thickets Frequently growing on exposed sites on shallow rocky soils,Confined to alpine and subalpine areas where sometimes locally common and occasionally forming thickets Frequently growing on exposed sites on shallow rockysoils,NA,NA,alpine subalpine thickets,alpine subalpine thickets,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia amoena,Restricted in Victoria to rainshadowed catchments of the upper Snowy River where it grows on rocky slopes and along watercourses in low openforest,Restricted in Victoria to rainshadowed catchments of the upper Snowy River where it grows on rockyslopes and along watercourses in low openforest,NA,NA,NA,NA,slopes_rocky watercourses,rockyslopes watercourses,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ancistrophylla var. lissophylla,also Confined in Victoria to scattered localities between Lake Hindmarsh and Swan Hill Grows mostly on flats in sandy loam and loam over limestone usually in mallee communities,also Confined in Victoria to scattered localities between Lake Hindmarsh and Swan Hill Grows mostly on flats in sandy loam and loam over limestone usually in mallee communities,NA,NA,mallee,mallee,flat,flats,NA,NA,loam sand,loam sandy,NA,NA,calcareous,limestone
Acacia argyrophylla,Known in Victoria from a single collection in 1892 from the Murtoa area and now presumed extinct in this State In South Australia it grows mostly in woodland and open scrub often in alkaline soils,Known in Victoria from a single collection in 1892 from the Murtoa area and now presumed extinct in this State In South Australia it grows mostly in woodland and openscrub often in alkalinesoils,NA,NA,scrub_open woodland,openscrub woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aspera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia aspera subsp. aspera,Widespread through central Victoria usually growing on ranges in shallow stony or gravelly soil in Eucalyptus openforest or mallee communities,Widespread through central Victoria usually growing on ranges in shallow stony or gravelly soil in Eucalyptus openforest or mallee communities,NA,NA,forest_open mallee,openforest mallee,NA,NA,NA,NA,gravelly,gravelly,NA,NA,NA,NA
Acacia aspera subsp. parviceps,Restricted in Victoria mainly known from sites west of Melbourne Brisbane Ranges Werribee Gorge area Beaufort with disjunct records from near Wedderburn Plants grow in shallow soil in dry to moist open Eucalyptus forest,Restricted in Victoria mainly known from sites west of Melbourne Brisbane Ranges Werribee Gorge area Beaufort with disjunct records from near Wedderburn Plants grow in shallow soil in dry to moist open Eucalyptus forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia ausfeldii,Scattered through northcentral Victoria where it grows in dry forest and mallee communities,Scattered through northcentral Victoria where it grows in dry forest and mallee communities,NA,NA,forest mallee,forest mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia baileyana,Also naturalised NSW native and naturalised Native to the CootamundraWagga Wagga area of New South Wales Commonly cultivated and now widely naturalised in all mainland states except Northern Territory Common in dryish woodland and openforests usually on poor shallow soils,Also naturalised NSW native and naturalised Native to the CootamundraWagga Wagga area of New South Wales Commonly cultivated and now widely naturalised in all mainland states except Northern Territory Common in dryish woodland and openforests usually on poor shallowsoils,NA,NA,forest_open cultivated woodland,openforests cultivated woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia binervia,Known in Victoria by a single collection in the upper Snowy River area Flowers spring New South Wales,Known in Victoria by a single collection in the upper Snowy River area Flowers spring New South Wales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii,Restricted mostly to openforest on rocky slopes and along banks of the Snowy River and its tributaries with outlying populations at Mt Typo and Gapsted in the Mytleford area Occasionally sparingly established on roadside plantings for example between Bungal and Mt Egerton,Restricted mostly to openforest on rockyslopes and along banks of the Snowy River and its tributaries with outlying populations at Mt Typo and Gapsted in the Mytleford area Occasionally sparingly established on roadsides plantings for example between Bungal and Mt Egerton,NA,NA,forest_open roadside,openforest roadsides,slopes_rocky,rockyslopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii subsp. boormanii,Occurs principally in the catchment of the Snowy River from the NSW border to near Buchan with outlying occurrences at Gapsted in northeastern Victoria and near Mt Bowen near Bonang Tucker et al 2018 Often in rocky areas lining watercourses but also occasionally in areas away from the river eg Gapsted and Mt Bowen populations Commonly cultivated and naturalised in some Melbourne suburbs and near Meredith Orbost and Dartmouth,Occurs principally in the catchment of the Snowy River from the NSW border to near Buchan with outlying occurrences at Gapsted in northeastern Victoria and near Mt Bowen near Bonang Tucker et al 2018 Often in rocky areas lining watercourses but also occasionally in areas away from the river eg Gapsted and Mt Bowen populations Commonly cultivated and naturalised in some Melbourne suburbs and near Meredith Orbost and Dartmouth,NA,NA,cultivated,cultivated,watercourses,watercourses,NA,NA,NA,NA,NA,NA,NA,NA
Acacia boormanii subsp. gibba,Known only from Mt Typo near Cheshunt where dominant over much of the mountain and nearby areas Rose River BenniesMt Cobbler Rd Occurs in dryish montane to subalpine forest mostly on rather shallow soils,Known only from Mt Typo near Cheshunt where dominant over much of the mountain and nearby areas Rose River BenniesMt Cobbler Rd Occurs in dryish montane to subalpine forest mostly on rather shallowsoils,NA,NA,forest subalpine,forest subalpine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia brachybotrya,Extending through northwestern Victoria growing in a variety of soils in mallee communities on sandy loam soils or in taller woodland on more fertile loams,Extending through northwestern Victoria growing in a variety of soils in mallee communities on sandy loam soils or in taller woodland on more fertile loams,NA,NA,mallee woodland,mallee woodland,NA,NA,NA,NA,loam sand,loam sandy,NA,NA,NA,NA
Acacia brownii,Grows on sand in heath dry sclerophyll woodland or openforest,Grows on sand in heath drysclerophyll woodland or openforest,NA,NA,forest_dry_sclerophyll dry_sclerophyll heath woodland,drysclerophyll drysclerophyll heath woodland,NA,NA,NA,NA,sand,sand,NA,NA,NA,NA
Acacia buxifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia buxifolia subsp. buxifolia,Occurring in northeastern Victoria from Warby Range eastward rarely above 1000 m and growing commonly on rocky ridges in open scrub or dryish forest or woodland A single specimen apparently collected from the Wimmera region in 1905 is likely to mislabelled,Occurring in northeastern Victoria from Warby Range eastward rarely above 1000 m and growing commonly on rocky ridges in openscrub or dryish forest or woodland A single specimen apparently collected from the Wimmera region in 1905 is likely to mislabelled,NA,NA,scrub_open forest woodland,openscrub forest woodland,ridge,ridges,NA,NA,NA,NA,NA,NA,NA,NA
Acacia caerulescens,Restricted to Tambo UpperLake Tyers region north to near Murrindal It occurs largely as remnant populations on clay over limestone in Eucalyptus woodland or forest and remaining populations are under threat by land clearing,Restricted to Tambo UpperLake Tyers region north to near Murrindal It occurs largely as remnant populations on clay over limestone in Eucalyptus woodland or forest and remaining populations are under threat by land clearing,NA,NA,forest woodland,forest woodland,NA,NA,NA,NA,clay,clay,NA,NA,calcareous,limestone
Acacia cardiophylla,ACT naturalised Widely cultivated Scattered plants occasionally recorded as naturalised away from gardens eg Anglesea Beaumaris Native to inland New South Wales,ACT naturalised Widely cultivated Scattered plants occasionally recorded as naturalised away from gardens eg Anglesea Beaumaris Native to inland New South Wales,NA,NA,cultivated,cultivated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cineramis,Recorded from a very few sites in the western Wimmera mainly between the Little and Big Deserts from Dimboola to Kaniva This taxon was propagated at the Wail nursery in the early 1950�s and plants grown at this nursery are likely to have been planted widely in the Wimmera region,Recorded from a very few sites in the western Wimmera mainly between the Little and Big Deserts from Dimboola to Kaniva This taxon was propagated at the Wail nursery in the early 1950�s and plants grown at this nursery are likely to have been planted widely in the Wimmera region,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cognata,Occurs on the coastal plain and adjacent foothills of the Great Dividing Range from near Nowra in New South Wales to near Orbost It grows in moist gullies and on hillsides in lowland sclerophyll forest on sandstone and in soils derived from granite Frequently cultivated and an occasional escape into nearby forest eg Arthurs Seat National Park A pre1900�collection from Hawkesdale in southwest Victoria is likely to have incorrect locality details,Occurs on the coastal plain and adjacent foothills of the Great Dividing Range from near Nowra in New South Wales to near Orbost It grows in moist gullies and on hillsides in lowland sclerophyll forest on sandstone and in soils derived from granite Frequently cultivated and an occasional escape into nearby forest eg Arthurs Seat National Park A pre1900�collection from Hawkesdale in southwest Victoria is likely to have incorrect locality details,NA,NA,cultivated forest sclerophyll,cultivated forest sclerophyll,gullies,gullies,NA,NA,sand,sands,NA,NA,granite sandstone,granite sandstone
Acacia colletioides,In northwest of state only growing mainly in mallee scrub or open woodland on sandy loam soils,In northwest of state only growing mainly in malleescrub or open woodland on sandy loam soils,NA,NA,shrubland_mallee mallee woodland,malleescrub mallees woodland,NA,NA,NA,NA,loam sand,loam sandy,NA,NA,NA,NA
Acacia cultriformis,Native to New South Wales and southeastern Queensland occasionally escaping cultivation in Victoria,Native to New South Wales and southeastern Queensland occasionally escaping cultivation in Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cupularis,Although mostly coastal or nearcoastal throughout its range it is known in Victoria from only Wyperfeld and Little Desert National Parks and near Dimboola Grows in sand sometimes on dunes or in loam or sandy clay in mallee communities,Although mostly coastal or nearcoastal throughout its range it is known in Victoria from only Wyperfeld and Little Desert National Parks and near Dimboola Grows in sand sometimes on sandduness or in loam or sandy clay in mallee communities,NA,NA,sanddunes mallee,sandduness mallee sandduness sanddunes,NA,NA,NA,NA,clay loam sand,clay loam sand sandy,NA,NA,NA,NA
Acacia cyclops,Native to coastal regions of Western Australia and South Australia often grown elsewhere as a windbreak or for dune stabilisation in coastal areas Populations of this species have naturalised in a few coastal and sandy inland sites mainly in southern and western Victoria,Native to coastal regions of Western Australia and South Australia often grown elsewhere as a windbreak or for sanddunes stabilisation in coastal areas Populations of this species have naturalised in a few coastal and sandy inland sites mainly in southern and western Victoria,NA,NA,sanddunes,sanddunes sanddunes sanddunes,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Acacia dallachiana,Restricted to subalpine and montane forests on the Buffalo Range eastern and western slopes of Mt Bogong and the Bogong High Plains and near Sassafras Gap north of Benambra,Restricted to subalpine and montane forests on the Buffalo Range eastern and western slopes of Mt Bogong and the Bogong High Plains and near Sassafras Gap north of Benambra,NA,NA,forest subalpine,forests subalpine,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia daviesii,Known from only a handful of sites in dry open Eucalyptus woodland and forest near the Howqua River and Mt Timbertop south east of Mansfield Plants are only known to reproduce vegetatively forming dense stands of 10�s to 100�s of stems Isozyme analysis suggests that there may be as few as nine genotypes of this species Bartolome et al 2002,Known from only a handful of sites in dry open Eucalyptus woodland and forest near the Howqua River and Mt Timbertop south east of Mansfield Plants are only known to reproduce vegetatively forming dense stands of 10�s to 100�s of stems Isozyme analysis suggests that there may be as few as nine genotypes of this species Bartolome et al 2002,NA,NA,forest woodland,forest woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dawsonii,In Victoria known from only a few disjunct localities in the east Mitta Mitta and Snowy River valleys growing in dry openforest usually in rocky sites,In Victoria known from only a few disjunct localities in the east Mitta Mitta and Snowy River valley growing in dry openforest usually in rockysites,NA,NA,forest_open,openforest,valley,valley,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata,SA naturalised NI doubtfully naturalised,SA naturalised NI doubtfully naturalised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata subsp. dealbata,SA naturalised Widespread in wetter mountain forests often a component of secondary canopy in taller eucalypt eg E regnans stands Entering lowlands to near sealevel along creeks and rivers eg Yarra River near Melbourne and areas where taller forests meet the coast eg Otways,SA naturalised Widespread in wetter mountain forests often a component of secondary canopy in taller eucalypt eg E regnans stands Entering lowlands to near sealevel along creeks and rivers eg Yarra River near Melbourne and areas where taller forests meet the coast eg Otways,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dealbata subsp. subalpina,Confined to subalpine woodlands and forests of the far east in the Bonang Gelantipy areas at altitudes of c 700 m and above,Confined to subalpine woodlands and forests of the far east in the Bonang Gelantipy areas at altitudes of c 700 m and above,NA,NA,forest subalpine woodland,forests subalpine woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei subsp. deanei,Known from a few small populations in the Chiltern area in Eucalyptus sideroxylon forest,Known from a few small populations in the Chiltern area in Eucalyptus sideroxylon forest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia deanei subsp. paucijuga,Common in dry forest in northcentral Victoria and in the Suggan Buggan area of East Gippsland often on stony slopes and rocky outcrops,Common in dry forest in northcentral Victoria and in the Suggan Buggan area of East Gippsland often on stony slopes and rocky outcrops,NA,NA,forest,forest,slopes,slopes,NA,NA,NA,NA,NA,NA,NA,NA
Acacia decora,Widespread in Queensland and New South Wales but in Victoria known only from around Dookie and Thoona west of Wangaratta and near Wodonga Restricted to roadside and railway remnants of open woodland,Widespread in Queensland and New South Wales but in Victoria known only from around Dookie and Thoona west of Wangaratta and near Wodonga Restricted to roadsides and railway remnants of open woodland,NA,NA,roadside,roadsides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia decurrens,Native to NSW also naturalised Widely established in dry to moist openforest and woodland,Native to NSW also naturalised Widely established in dry to moist openforest and woodland,NA,NA,forest_open,openforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dictyocarpa,Scattered in far western and northwestern Victoria in mallee and heathy woodland on deep sand or shallow sand over loam soils,Scattered in far western and northwestern Victoria in mallee and heathy woodland on deep sand or shallow sand over loam soils,NA,NA,mallee woodland,mallee woodland,NA,NA,NA,NA,loam sand,loam sand,NA,NA,NA,NA
Acacia difformis,Disjunctly distributed in northern Victoria growing on sand or sandy loam usually in mallee communities or openforest,Disjunctly distributed in northern Victoria growing on sand or sandy loam usually in mallee communities or openforest,NA,NA,mallee,mallee,NA,NA,NA,NA,loam sand,loam sand sandy,NA,NA,NA,NA
Acacia dodonaeifolia,Formerly believed to be a garden escape but a reconsideration of the records suggest this is a naturally occurring species in Victoria,Formerly believed to be a garden escape but a reconsideration of the records suggest this is a naturally occurring species in Victoria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia doratoxylon,Localised in Barambogie Range near Beechworth and in the Suggan Buggan area growing on welldrained rocky ridges and hillsides,Localised in Barambogie Range near Beechworth and in the Suggan Buggan area growing on welldrained rocky ridges and hillsides,NA,NA,NA,NA,ridge,ridges,NA,NA,NA,NA,NA,NA,NA,NA
Acacia elata,Also naturalised Qld native to Commonly grown shade tree which has become naturalised in woodlands and moist forests of southcentral Victoria,Also naturalised Qld native to Commonly grown shade tree which has become naturalised in woodlands and moist forests of southcentral Victoria,NA,NA,forest woodland,forests woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia elongata,Native to New South Wales ACT doubtfully naturalised,Native to New South Wales ACT doubtfully naturalised,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia enterocarpa,Restricted in Victoria to an area west of Nhill Throughout its range it grows on a variety of soils in openforest and woodland,Restricted in Victoria to an area west of Nhill Throughout its range it grows on a variety of soils in openforest and woodland,NA,NA,forest_open,openforest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia euthycarpa,Common in northwestern Victoria growing on a variety of soil types mainly in woodland and open scrub,Common in northwestern Victoria growing on a variety of soil types mainly in woodland and openscrub,NA,NA,woodland,woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia euthycarpa subsp. euthycarpa,Common in western Victoria Big Desert and Little Desert and near Inglewood in central Victoria Mostly found in scrub or woodland occasionally on rocky sites,Common in western Victoria Big Desert and Little Desert and near Inglewood in central Victoria Mostly found in scrub or woodland occasionally on rockysites,NA,NA,scrub woodland,scrub woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia euthycarpa subsp. oblanceolata,Restricted to the WedderburnWychitella region in westerncentral Victoria Often found in rocky sites in scrub or open woodland,Restricted to the WedderburnWychitella region in westerncentral Victoria Often found in rockysites in scrub or open woodland,NA,NA,rocky scrub,rockysites scrub,NA,NA,NA,NA,rocky,rockysites,NA,NA,NA,NA
Acacia extensa,Native to West Australia commonly cultivated plants naturalised in the Grampians gowing in sandy soils Also recorded on the south coast near Geelong but plants have apparently not persisted at that site,Native to West Australia commonly cultivated plants naturalised in the Grampians gowing in sandy soils Also recorded on the south coast near Geelong but plants have apparently not persisted at that site,NA,NA,cultivated,cultivated,NA,NA,NA,NA,sand,sandy,NA,NA,NA,NA
Acacia exudans,Confined to far southwest Victoria near Casterton growing in heath or low eucalypt woodland often along degraded road verges,Confined to far southwest Victoria near Casterton growing in heath or low eucalypt woodland often along degraded road verges,NA,NA,heath woodland,heath woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia falciformis,Common on tablelands and slopes of the Great Dividing Range mostly at 500�1100 m altitude extending from southeast New South Wales through to near Traralgon in Victoria Grows on clayloam in dryish forest or woodland,Common on tablelands and slopes of the Great Dividing Range mostly at 500�1100 m altitude extending from southeast New South Wales through to near Traralgon in Victoria Grows on clayloam in dryish forest or woodland,NA,NA,forest,forest,slopes,slopes,NA,NA,loam_clayey,clayloam,NA,NA,NA,NA
Acacia farinosa,Scattered through western Victoria between about Edenhope and Swan Hill mostly in sand and loam in shrubland and woodland often associated with Eucalyptus incrassata,Scattered through western Victoria between about Edenhope and Swan Hill mostly in sand and loam in shrubland and woodland often associated with Eucalyptus incrassata,NA,NA,woodland,woodland,NA,NA,NA,NA,loam sand,loam sand,NA,NA,NA,NA
Acacia fimbriata,Native to New South Wales and Queensland,Native to New South Wales and Queensland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia flexifolia,Localised but locally not uncommon extending from northcentral Victoria Bendigo Whipstick WhrooRushworth Forest to the northeast Benalla Wangaratta areas Mostly on shallow and rocky soils in openforest or mallee scrub,Localised but locally not uncommon extending from northcentral Victoria Bendigo Whipstick WhrooRushworth Forest to the northeast Benalla Wangaratta areas Mostly on shallow and rockysoils in openforest or malleescrub,NA,NA,forest_open mallee,openforest mallees,NA,NA,NA,NA,rocky,rockysoils,NA,NA,NA,NA
Acacia floribunda,Widespread in forests of East Gippsland indigenous range extending westward to near Briagolong mostly along the banks of streams Also naturalised from cultivated sources outside this range,Widespread in forests of East Gippsland indigenous range extending westward to near Briagolong mostly along the banks of streams Also naturalised from cultivated sources outside this range,NA,NA,cultivated forest,cultivated forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia frigescens,In montane and subalpine regions northeast of Melbourne and in East Gippsland Grows in understorey of tall openforest of various Eucalyptus species,In montane and subalpine regions northeast of Melbourne and in East Gippsland Grows in understorey of tall openforest of various Eucalyptus species,NA,NA,forest_open subalpine,openforest subalpine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia,including Flinders and Bruny Islands �Appart from the mallee and higher parts of the Dividing Range common through much of Victoria growing on a variety of soils in sclerophyll forest woodland or heathland,including Flinders and Bruny Islands �Appart from the mallee and higher parts of the Dividing Range common through much of Victoria growing on a variety of soils in sclerophyll forest woodland or heathland,NA,NA,forest mallee woodland sclerophyll,forest mallee woodland sclerophyll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia subsp. attenuata,Known from lowland forests in Gippsland mostly east of Bairnsdale but with outlying records from near Wilsons Promontory and the Macalister River catchment near Licola,Known from lowland forests in Gippsland mostly east of Bairnsdale but with outlying records from near Wilsons Promontory and the Macalister River catchment near Licola,NA,NA,forest,forests,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia genistifolia subsp. genistifolia,Also SA where possibly now extinct In openforests often on poor shallow rocky soils from west of the Grampians to the northeast Chiltern area and east to northeast of Melbourne Bunyip to Kinglake areas,Also SA where possibly now extinct In openforests often on poor shallow rockysoils from west of the Grampians to the northeast Chiltern area and east to northeast of Melbourne Bunyip to Kinglake areas,NA,NA,forest_open,openforests,NA,NA,NA,NA,rocky,rockysoils,NA,NA,NA,NA
Acacia genistifolia subsp. platyphylla,Mostly from nearcoastal heathland and heathy woodlands of the Otway Range and south Gippsland Fish Creek Wilsons Promontory with isolated occurrences in the Grampians Halls Gap Mt Zero Zumsteins areas,Mostly from nearcoastal heathland and heathy woodlands of the Otway Range and south Gippsland Fish Creek Wilsons Promontory with isolated occurrences in the Grampians Halls Gap Mt Zero Zumsteins areas,NA,NA,heath woodland,heathland woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia glandulicarpa,Restricted in Victoria to the far midwest NhillDimboola area where occurring in woodland and mallee communities,Restricted in Victoria to the far midwest NhillDimboola area where occurring in woodland and mallee communities,NA,NA,mallee woodland,mallee woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia gunnii,Widespread and sometimes locally abundant on the Great Dividing Range and its foothills growing in Eucalyptus openforest or dryish woodlands,Widespread and sometimes locallyabundant on the Great Dividing Range and its foothills growing in Eucalyptus openforest or dryish woodlands,locally_abundant,locallyabundant,forest_open woodland,openforest woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia hakeoides,Scattered through western Victoria growing in openscrub or woodland on a variety of soils but commonly on sand or loam,Scattered through western Victoria growing in openscrub or woodland on a variety of soils but commonly on sand or loam,NA,NA,scrub_open woodland,openscrub woodland,NA,NA,NA,NA,sand,sand,NA,NA,NA,NA
Acacia halliana,Grows mostly in mallee communities in sand or light brown calcareous loam,Grows mostly in mallee communities in sand or light brown calcareous loam,NA,NA,mallee,mallee,NA,NA,NA,NA,sand,sand,NA,NA,calcareous,calcareous
Acacia havilandiorum,In Victoria known from recent collections only near Woomelang in the northwest Previously collected from near Ouyen 1912 and Gerang Gerung 1918,In Victoria known from recent collections only near Woomelang in the northwest Previously collected from near Ouyen 1912 and Gerang Gerung 1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
