Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution,Species,In,In cultivation,By experiment,
Astroloma pallidum,field_resistant,Styphelia pallida,Styphelia pallida,Ericaceae,WA,Leucopogon sp. Munglinup (KR Newbey 8123),,,,HS41
Phyllanthus calycinus,field_resistant,Phyllanthus calycinus,Phyllanthus calycinus,Phyllanthaceae,"WA, SA",Leucopogon sp. Peak Charles (MA Burgman 1476),,,,HS41
Bossiaea webbii,field_resistant,Bossiaea webbii,Bossiaea webbii,Fabaceae,WA,Leucopogon sp. Roberts Swamp (KR Newbey 8173),,,,HS41
Goodenia scapigera,field_resistant,Goodenia scapigera,Goodenia scapigera,Goodeniaceae,WA,Leucopogon sp. Yanneymooning (F Mollemans 3797),,,,HS41
Lechenaultia biloba,field_resistant,Lechenaultia biloba,Lechenaultia biloba,Goodeniaceae,WA,Leucopogon sp. 4,,,,LS40
Conostylis serrulata,field_resistant,Conostylis serrulata,Conostylis serrulata,Haemodoraceae,WA,Lissanthe strigosa s.l.,"4,25",,,
Conostylis setigera s.l.,field_resistant,Conostylis setigera,Conostylis setigera,Haemodoraceae,WA,Lysinema ciliatum,,,37,"S37,HS40,59"
Conostylis setosa,field_resistant,Conostylis setosa,Conostylis setosa,Haemodoraceae,WA,Lysinema conspicuum,,,,MS40
Lindsaea linearis,field_resistant,Lindsaea linearis,Lindsaea linearis,Lindsaeaceae,"WA, SA, Qld, NSW, Vic, Tas",Lysinema elegans,,,,MS41
Acacia barbinervis s.l.,field_resistant,Acacia barbinervis,Acacia barbinervis,Fabaceae,WA,Lysinema lasianthum,,,,LS41
Acacia drummondii s.l.,field_resistant,Acacia drummondii,Acacia drummondii,Fabaceae,WA,Melichrus urceolatus,3,,,
Acacia nervosa,field_resistant,Acacia nervosa,Acacia nervosa,Fabaceae,WA,Monotoca elliptica,"17,34",,,S60
Acacia veronica,field_resistant,Acacia veronica,Acacia veronica,Fabaceae,WA,Monotoca glauca,"2,17,34",,,S60
Hypocalymma angustifolium s.l.,field_resistant,Hypocalymma angustifolium,Hypocalymma angustifolium,Myrtaceae,WA,Monotoca leucantha,,,,HS41
Hypocalymma myrtifolium,field_resistant,Hypocalymma myrtifolium,Hypocalymma myrtifolium,Myrtaceae,WA,Monotoca linifolia susbp. linifolia,34,,,
Caladenia flava,field_resistant,Caladenia flava,Caladenia flava,Orchidaceae,WA,Monotoca oligarrhenoides,,,,HS59
Elythranthera brunonis,field_resistant,Elythranthera brunonis,Elythranthera brunonis,Orchidaceae,WA,Monotoca scoparia,"3,25,29",,,
Sollya drummondii,field_resistant,Billardiera drummondii,Billardiera drummondii,Pittosporaceae,WA,Monotoca submutica s.l.,"17,34",,,
Hakea lissocarpha,field_resistant,Hakea lissocarpha,Hakea lissocarpha,Proteaceae,WA,Monotoca tamariscina,15,,,S46
Desmocladus flexuosa,field_resistant,Desmocladus flexuosus,Desmocladus flexuosus,Restionaceae,WA,Monotoca sp. aff. elliptica (D. Albrecht pers. comm.),13,,,HS13
Boronia crenulata s.l.,field_resistant,Boronia crenulata,Boronia crenulata,Rutaceae,WA,Monotoca sp. Mt Maxwell (KR Newbey 4727),,,,LS41
Philotheca spicata,field_resistant,Philotheca spicata,Philotheca spicata,Rutaceae,WA,Prionotes cerinthoides,17,,,
Thomasia sp. Toolbrunup,field_resistant,Thomasia brachystachys,Thomasia brachystachys,Malvaceae,WA,Richea dracophylla,34,,,
Stylidium imbricatum,field_resistant,Stylidium imbricatum,Stylidium imbricatum,Stylidiaceae,WA,Richea milliganii,"17,34",,,
Pimelea hispida,field_resistant,Pimelea hispida,Pimelea hispida,Thymelaeaceae,WA,Richea pandanifolius,"17,34",,,HS60
Lomandra pauciflora,field_resistant,Lomandra pauciflora,Lomandra pauciflora,Asparagaceae,WA,Sphenotoma dracophylloides,,,,"HS40,59"
Xyris exilis V,field_resistant,Xyris exilis,Xyris exilis,Xyridaceae,WA,Sphenotoma drummondii E,58,,,"HS58,59,LS41"
Goodenia caerulea,field_resistant,Goodenia caerulea,Goodenia caerulea,Goodeniaceae,WA,Sphenotoma gracilis,,,,HS40
Baeckea camphorosmae,field_resistant,Babingtonia camphorosmae,Babingtonia camphorosmae,Myrtaceae,WA,Sphenotoma parviflora,,,,LS41
Corymbia calophylla,field_resistant,Corymbia calophylla,Corymbia calophylla,Myrtaceae,"WA, SA (doubtfully naturalised)",Sphenotoma squarrosa,15,53,,"S53,HS40,59"
Stylidium verticillatum,field_resistant,Stylidium verticillatum,Stylidium verticillatum,Stylidiaceae,WA,Sphenotoma sp. Stirling,58,,,"HS58,59"
Pteridium esculentum,field_resistant presumed_resistant,Pteridium esculentum,Pteridium esculentum,Dennstaedtiaceae,"WA, SA, Qld, NSW, NI, ACT, Vic, Tas",Sprengelia incarnata,"8,13,17, 25,34",,33,SP61
Hovea chorizemifolia,field_resistant presumed_resistant,Hovea chorizemifolia,Hovea chorizemifolia,Fabaceae,WA,Styphelia adscendens,"25,29,34",,,S60
Logania serpyllifolia s.l.,field_resistant presumed_resistant,Orianthera serpyllifolia,Orianthera serpyllifolia,Loganiaceae,WA,Styphelia pulchella,,,,LS41
Acacia urophylla,field_resistant presumed_resistant,Acacia urophylla,Acacia urophylla,Fabaceae,WA,Styphelia tenuiflora,"14,24,46",,,"S24,46,Q21,HS22"
Acacia pulchella s.l.,field_resistant low_susceptibility,Acacia pulchella,Acacia pulchella,Fabaceae,"WA, NSW (naturalised)",Trochocarpa disticha,17,,,
Calothamnus affinis,field_resistant low_susceptibility,Calothamnus affinis,Calothamnus affinis,Myrtaceae,WA,Trochocarpa gunnii,17,,,
Hakea ruscifolia,field_resistant low_susceptibility,Hakea ruscifolia,Hakea ruscifolia,Proteaceae,WA,Trochocarpa parviflora,,,,LS41
Desmocladus fasciculatus,field_resistant low_susceptibility moderately_susceptible,Desmocladus fasciculatus,Desmocladus fasciculatus,Restionaceae,WA,Woollsia pungens,1,,,
Darwinia leiostyla,field_resistant low_susceptibility moderately_susceptible,Darwinia leiostyla,Darwinia leiostyla,Myrtaceae,WA,Anopterus glandulosa,"17,34",,,
Kennedia coccinea,field_resistant moderately_susceptible,Kennedia coccinea,Kennedia coccinea,Fabaceae,WA,Eucryphia lucida,17,,,
Grevillea fasciculata,field_resistant moderately_susceptible,Grevillea fasciculata,Grevillea fasciculata,Proteaceae,WA,Eucryphia milliganii,17,3,,
Pentapeltis peltigera,field_resistant presumed_resistant,Pentapeltis peltigera,Pentapeltis peltigera,Apiaceae,WA,Eucryphia moorei,,3,,
Drosera stolonifera s.l.,field_resistant presumed_resistant,Drosera stolonifera,Drosera stolonifera,Droseraceae,WA,Amperea ericoides,15,,,
Acacia lateriticola,field_resistant presumed_resistant,Acacia lateriticola,Acacia lateriticola,Fabaceae,WA,Amperea xiphoclada,"17,25,34",,,"S43,60, FR22"
Tetrarrhena laevis,field_resistant presumed_resistant,Tetrarrhena laevis,Tetrarrhena laevis,Poaceae,WA,Antidesma erostre,,,,FR36
Clematis pubescens,field_resistant presumed_resistant,Clematis pubescens,Clematis pubescens,Ranunculaceae,WA,Hylandia dockrilii,,,,FR36
Leptomeria cunninghamii,field_resistant presumed_resistant,Leptomeria cunninghamii,Leptomeria cunninghamii,Santalaceae,WA,Macaranga subdentata,,,,FR36
Patersonia umbrosa,field_resistant susceptible_but_degree_unknown,Patersonia umbrosa,Patersonia umbrosa,Iridaceae,WA,Mallotus polyadenos,,,,S36
Leucopogon propinquus,field_resistant susceptible_but_degree_unknown,Styphelia propinqua,Styphelia propinqua,Ericaceae,WA,Monotaxis occidentalis,,,,Q21
Patersonia occidentalis,field_resistant susceptible_but_degree_unknown field_resistant,Patersonia occidentalis,Patersonia occidentalis,Iridaceae,"WA, SA, Vic, Tas",Phyllanthus calycinus,24,,,"FR21,24"
Platysace compressa,field_resistant susceptible_but_degree_unknown highly_susceptible,Platysace compressa,Platysace compressa,Apiaceae,WA,Phyllanthus hirtellus,3,,,
Oxylobium ellipticum,field_resistanthighly_susceptible,Oxylobium ellipticum,Oxylobium ellipticum,Fabaceae,"NSW, ACT, Vic, Tas",Poranthera corymbosa,,,,
Agrostocrinum scabrum,field_resistant susceptible_but_degree_unknown,Agrostocrinum scabrum,Agrostocrinum scabrum,Hemerocallidaceae,WA,Poranthera microphylla,25,,,
Borya mirabilis E,highly_susceptible,Borya mirabilis,Borya mirabilis,Boryaceae,Vic,Ricinocarpus glaucus,,3,,
Blandfordia punicea,highly_susceptible,Blandfordia punicea,Blandfordia punicea,Blandfordiaceae,Tas,Ricinocarpus pinifolius,17,,,
Allocasuarina duncanii,highly_susceptible,Allocasuarina duncanii,Allocasuarina duncanii,Casuarinaceae,Tas,Stachystemon vermicularis,,,,FR21
Hibbertia calycina,highly_susceptible,Hibbertia calycina,Hibbertia calycina,Dilleniaceae,"NSW, ACT, Vic, Tas",Aotus ericoides,"15,17,25,34",,,"S37,43,53,54,HS60"
Hibbertia glomerata s.l.,highly_susceptible,Hibbertia glomerata,Hibbertia glomerata,Dilleniaceae,WA,Aotus genistoides,,,,"MS59,S58"
Hibbertia subvaginata,highly_susceptible,Hibbertia subvaginata,Hibbertia subvaginata,Dilleniaceae,WA,Aotus passerinoides,15,,,"S53,54"
Acrotriche cordata,highly_susceptible,Acrotriche cordata,Acrotriche cordata,Ericaceae,"WA, SA, Vic, Tas",Bossiaea aquifolium,14,,,SP21
Acrotriche patula,highly_susceptible,Acrotriche patula,Acrotriche patula,Ericaceae,"WA, SA",Bossiaea cinerea,"17,25,34",,,"S43,HS60"
Andersonia auriculata,highly_susceptible,Andersonia auriculata,Andersonia auriculata,Ericaceae,WA,Bossiaea eriocarpa,"14,15,24",,,S51
Andersonia bifida,highly_susceptible,Andersonia bifida,Andersonia bifida,Ericaceae,WA,Bossiaea linophylla,40,,,FR40
Andersonia carinata,highly_susceptible,Andersonia carinata,Andersonia carinata,Ericaceae,WA,Bossiaea obcordata,,,9,LS9
Andersonia longifolia,highly_susceptible,Andersonia longifolia,Andersonia longifolia,Ericaceae,WA,Bossiaea ornata,"14,28",,,"S46,48,SP21"
Andersonia macranthera,highly_susceptible,Andersonia macranthera,Andersonia macranthera,Ericaceae,WA,Bossiaea prostrate,"25,29",,,"S43,60"
Andersonia setifolia,highly_susceptible,Andersonia setifolia,Andersonia setifolia,Ericaceae,WA,Bossiaea rufa,40,,,FR40
Astroloma foliosum,highly_susceptible,Styphelia foliosa,Styphelia foliosa,Ericaceae,WA,Bossiaea webbii,40,,,"FR40,59"
Astroloma sp. Cataby (EA Griffin 1022),highly_susceptible,Styphelia oblongifolia,Styphelia oblongifolia,Ericaceae,WA,Castanospermum australe,,,16,
Astroloma sp. Eneabba (N Marchant s.n.),highly_susceptible,Astroloma sp. Eneabba (N.Marchant s.n. PERTH 01291777),,Ericaceae,,Chorizema aciculare s.l.,40,,,FR40
Astroloma sp. Mt Lindesay,highly_susceptible,Astroloma sp. [Astroloma sp. Mt Lindesay],,Ericaceae,,Chorizema carinatum,,,,MS40
Astroloma sp. Nannup (RD Royce 3978),highly_susceptible,Styphelia sp. Nannup (R.D.Royce 3978),Styphelia sp. Nannup (R.D.Royce 3978),Ericaceae,WA,Chorizema rhombeum,,,,Q21
Astroloma sp. 2504,highly_susceptible,Astroloma sp. [Astroloma sp. 2504],,Ericaceae,,Daviesia brevifolia,"25,29",,,S43
Brachyloma depressum,highly_susceptible,Brachyloma depressum,Brachyloma depressum,Ericaceae,"Vic, Tas",Daviesia bursarioides E,,,,MS41
Coleanthera coelophylla,highly_susceptible,Styphelia coelophylla,Styphelia coelophylla,Ericaceae,WA,Daviesia chapmanii ,,,,MS41
Conostephium minus,highly_susceptible,Conostephium minus,Conostephium minus,Ericaceae,WA,Daviesia debilior subsp. sinuans,,,,MS41
Epacris apsleyensis E,highly_susceptible,Epacris apsleyensis,Epacris apsleyensis,Ericaceae,Tas,Daviesia decurrens,15,,,"S24, SP21"
Epacris barbata CE,highly_susceptible,Epacris barbata,Epacris barbata,Ericaceae,Tas,Daviesia dielsii,,,,MS41
Epacris corymbiflora,highly_susceptible,Epacris corymbiflora,Epacris corymbiflora,Ericaceae,Tas,Daviesia epiphyllum,,,,MS41
Epacris curtisiae,highly_susceptible,Epacris curtisiae,Epacris curtisiae,Ericaceae,Tas,Daviesia euphorbioides E,,,,MS41
Epacris grandis E,highly_susceptible,Epacris grandis,Epacris grandis,Ericaceae,Tas,Daviesia glossosema,58,,,HS58
Epacris limbata CE,highly_susceptible,Epacris limbata,Epacris limbata,Ericaceae,Tas,Daviesia incrassata s.l.,,,,S37
Epacris marginata,highly_susceptible,Epacris marginata,Epacris marginata,Ericaceae,Tas,Daviesia inflata,,,,"S56,HS40"
Epacris myrtifolia,highly_susceptible,Epacris myrtifolia,Epacris myrtifolia,Ericaceae,Tas,Daviesia latifolia,"17,25,34",,,S43
Epacris paludosa,highly_susceptible,Epacris paludosa,Epacris paludosa,Ericaceae,"NSW, ACT, Vic, Tas",Daviesia lineata ,,,,MS41
Epacris virgata,highly_susceptible,Epacris virgata,Epacris virgata,Ericaceae,Tas,Daviesia megacalyx E,,,,"S49,LS41"
Epacridaceae gen. nov. (aff. Melichrus),highly_susceptible,,,,,Daviesia mesophylla,,,,HS58
Leptecophylla pendulosa,highly_susceptible,Leptecophylla pendulosa,Leptecophylla pendulosa,Ericaceae,Tas,Daviesia microcarpa E,,,,LS41
Leucopogon amplectens,highly_susceptible,Leucopogon amplectens,Leucopogon amplectens,Ericaceae,WA,Daviesia microphylla ,,,,LS41
Leucopogon apiculatus,highly_susceptible,Leucopogon apiculatus,Leucopogon apiculatus,Ericaceae,WA,Daviesia mimosoides s.l.,"2,3",,,
Leucopogon blepharolepis,highly_susceptible,Styphelia blepharolepis,Styphelia blepharolepis,Ericaceae,WA,Daviesia oppositifolia,,,,LS40
Leucopogon bracteolaris,highly_susceptible,Leucopogon bracteolaris,Leucopogon bracteolaris,Ericaceae,WA,Daviesia obovata,58,,,HS58
Leucopogon brevicuspis,highly_susceptible,Styphelia brevicuspis,Styphelia brevicuspis,Ericaceae,WA,Daviesia ovata,,,,LS41
Leucopogon breviflorus,highly_susceptible,Styphelia breviflora,Styphelia breviflora,Ericaceae,WA,Daviesia oxylobium ,,,,MS41
Leucopogon collinus,highly_susceptible,Leucopogon collinus [alternative possible names: Leucopogon pilifer (pro parte misapplied) | Leucopogon glacialis (misapplied)],Leucopogon collinus,Ericaceae,"NSW, Vic, Tas",Daviesia pauciflora ,,,,LS41
Leucopogon cordifolius,highly_susceptible,Styphelia cordifolia,Styphelia cordifolia,Ericaceae,"WA, SA, Vic",Daviesia physodes,,,,"S56,MS41"
Leucopogon cryptanthus,highly_susceptible,Leucopogon cryptanthus,Leucopogon cryptanthus,Ericaceae,WA,Daviesia polyphylla,14,,,
Leucopogon denticulatus,highly_susceptible,Leucopogon denticulatus,Leucopogon denticulatus,Ericaceae,WA,Daviesia preissii,,,,HS21
Leucopogon distans s.l.,highly_susceptible,Leucopogon distans,Leucopogon distans,Ericaceae,WA,Daviesia pseudaphylla E,58,,,"MS58,S49,LS41"
Leucopogon florulentus,highly_susceptible,Leucopogon florulentus,Leucopogon florulentus,Ericaceae,WA,Daviesia pteroclada ,,,,MS41
Leucopogon glaucifolius,highly_susceptible,Styphelia glaucifolia,Styphelia glaucifolia,Ericaceae,WA,Daviesia purpurascens,,,,LS41
Leucopogon interruptus,highly_susceptible,Leucopogon interruptus,Leucopogon interruptus,Ericaceae,WA,Daviesia rhombifolia,"14,24",,,S24
Leucopogon marginatus E,highly_susceptible,Styphelia marginata,Styphelia marginata,Ericaceae,WA,Daviesia speciosa E,,,,MS41
Leucopogon multiflorus,highly_susceptible,Styphelia multiflora,Styphelia multiflora,Ericaceae,WA,Daviesia spiralis,,,,MS41
Leucopogon oliganthus,highly_susceptible,Leucopogon oliganthus,Leucopogon oliganthus,Ericaceae,WA,Daviesia ulicifolia,"2,17,25, 34",,,"S43,60"
Leucopogon pleurandroides,highly_susceptible,Lissanthe pleurandroides,Lissanthe pleurandroides,Ericaceae,WA,Daviesia wyattiana,,,,HS13
Leucopogon plumulifolius,highly_susceptible,Leucopogon plumuliflorus,Leucopogon plumuliflorus,Ericaceae,WA,Daviesia sp. [CAM] (KR Newbey 8162),,,,LS41
Leucopogon pogonocalyx,highly_susceptible,Styphelia pogonocalyx,Styphelia pogonocalyx,Ericaceae,WA,Daviesia sp. [PLE] (AS George 10288),,,,LS41
Leucopogon polystachyus,highly_susceptible,Leucopogon polystachyus,Leucopogon polystachyus,Ericaceae,WA,Daviesia sp. 4,,,,HS40
Leucopogon tamariscinus,highly_susceptible,Leucopogon tamariscinus,Leucopogon tamariscinus,Ericaceae,WA,Dillwynia glaberrima,"17,25,29,34",3,,"S43,HS60"
Leucopogon sp. Cascades (MA Burgman 3700),highly_susceptible,Leucopogon sp. Cascades (M.Hislop 3693),Leucopogon sp. Cascades (M.Hislop 3693),Ericaceae,WA,Dillwynia phylicoides,"2,3,25",,,S43
Leucopogon sp. Clyde Hill (MA Burgman 1207),highly_susceptible,Leucopogon sp. Clyde Hill (M.A.Burgman 1207),Leucopogon sp. Clyde Hill (M.A.Burgman 1207),Ericaceae,WA,Dillwynia sericea,"17,25,29,34",,,"S43,HS60"
Leucopogon sp. Condingup (MA Burgman 1377),highly_susceptible,Styphelia woodsii,Styphelia woodsii,Ericaceae,"WA, SA, Vic",Dillwynia uncinata,15,,,
Leucopogon sp. Coujinup (MA Burgman 1085),highly_susceptible,Leucopogon sp. Coujinup (M.A.Burgman 1085),Leucopogon sp. Coujinup (M.A.Burgman 1085),Ericaceae,WA,Dillwynia sp. A,,,,FR21
Leucopogon sp. Dundas (MA Burgman 1482),highly_susceptible,Leucopogon sp. [Leucopogon sp. Dundas (MA Burgman 1482)],,Ericaceae,,Eutaxia densifolia,,,,LS40
Leucopogon sp. Kau Rock (MA Burgman 1126),highly_susceptible,Styphelia subulata,Styphelia subulata,Ericaceae,WA,Gastrolobium bilobum,,,,FR59
Leucopogon sp. Munglinup (KR Newbey 8123),highly_susceptible,Brachyloma nguba,Brachyloma nguba,Ericaceae,WA,Gastrolobium crenulatum,,,,S58
Leucopogon sp. Peak Charles (MA Burgman 1476),highly_susceptible,Leucopogon sp. [Leucopogon sp. Peak Charles (MA Burgman 1476)],,Ericaceae,,Gastrolobium leakeanum,,,,"HS58,59,LS40"
Leucopogon sp. Roberts Swamp (KR Newbey 8173),highly_susceptible,Leucopogon rugulosus,Leucopogon rugulosus,Ericaceae,WA,Gastrolobium luteifolium,58,,,HS58
Leucopogon sp. Yanneymooning (F Mollemans 3797),highly_susceptible,Leucopogon sp. Yanneymooning (F.Mollemans 3797),Leucopogon sp. Yanneymooning (F.Mollemans 3797),Ericaceae,WA,Gastrolobium mondurup,,,,"HS58,MS59"
Monotoca leucantha,highly_susceptible,Dielsiodoxa leucantha,Dielsiodoxa leucantha,Ericaceae,WA,Gastrolobium papilio ,,,,S49
Monotoca oligarrhenoides,highly_susceptible,Dielsiodoxa oligarrhenoides,Dielsiodoxa oligarrhenoides,Ericaceae,WA,Gastrolobium pulchellum,58,,,"HS58, MS59,S46"
Monotoca sp. aff. elliptica (D. Albrecht pers. comm.),highly_susceptible,Monotoca sp. [Monotoca sp. aff. elliptica (D. Albrecht pers. comm.)],,Ericaceae,,Gastrolobium spinosum ,,,,LS40
Richea pandanifolius,highly_susceptible,Dracophyllum pandanifolium,Dracophyllum pandanifolium,Ericaceae,Tas,Gastrolobium tetragonophyllum,,,,MS40
Sphenotoma gracilis,highly_susceptible,Sphenotoma gracilis,Sphenotoma gracilis,Ericaceae,WA,Gastrolobium rubrum,,,,"MS58,59"
Daviesia glossosema,highly_susceptible,Daviesia glossosema,Daviesia glossosema,Fabaceae,WA,Gompholobium capitatum,24,,,FR24
Daviesia mesophylla,highly_susceptible,Daviesia mesophylla,Daviesia mesophylla,Fabaceae,WA,Gompholobium confertum,15,,,"S58,HS40"
Daviesia obovata,highly_susceptible,Daviesia obovata,Daviesia obovata,Fabaceae,WA,Gompholobium ecostatum,"25,29",,,
Daviesia preissii,highly_susceptible,Daviesia preissii,Daviesia preissii,Fabaceae,WA,Gompholobium huegelii,"17,25,34",,,
Daviesia wyattiana,highly_susceptible,Daviesia wyattiana,Daviesia wyattiana,Fabaceae,"Qld, NSW, Vic",Gompholobium knightianum,14,,,SP21
Daviesia sp. 4,highly_susceptible,"Daviesia sp. 4 (sp.""lep""; Fitzgerald River N.P.)",,Fabaceae,,Gompholobium marginatum,,,,FR21
Gastrolobium luteifolium,highly_susceptible,Gastrolobium luteifolium,Gastrolobium luteifolium,Fabaceae,WA,Gompholobium polymorphum,,,21,FR21
Jacksonia furcellata,highly_susceptible,Jacksonia furcellata,Jacksonia furcellata,Fabaceae,WA,Gompholobium preissii,,,,FR21
Jacksonia sternbergiana,highly_susceptible,Jacksonia sternbergiana,Jacksonia sternbergiana,Fabaceae,WA,Hovea chorizemifolia,24,,21,"FR24,59,Q21"
Phyllota diffusa,highly_susceptible,Phyllota diffusa,Phyllota diffusa,Fabaceae,Tas,Hovea corrickiae,,,9,MS9
Pultenaea graveolens,highly_susceptible,Pultenaea graveolens,Pultenaea graveolens,Fabaceae,"SA, Vic",Hovea elliptica,"15,54",,,S54
Pultenaea hibbertioides,highly_susceptible,Pultenaea mollis,Pultenaea mollis,Fabaceae,"NSW, Vic, Tas",Hovea linearis,"25,29",,,S43
Pultenaea juniperina s.l.,highly_susceptible,Pultenaea juniperina,Pultenaea juniperina,Fabaceae,"NSW, ACT, Vic, Tas",Hovea pungens ,,53,,S53
Pultenaea palacea var. sericea,highly_susceptible,Pultenaea sericea,Pultenaea sericea,Fabaceae,"NSW, Vic, Tas",Jacksonia alata,,,,FR21
Pultenaea prostrata,highly_susceptible,Pultenaea prostrata,Pultenaea prostrata,Fabaceae,"SA, Vic, Tas",Jacksonia calycina,,,,S58
Pultenaea subalpina,highly_susceptible,Pultenaea subalpina,Pultenaea subalpina,Fabaceae,Vic,Jacksonia carduacea,,,,MS41
Isophysis tasmanica,highly_susceptible,Isophysis tasmanica,Isophysis tasmanica,Iridaceae,Tas,Jacksonia floribunda,37,,,"S37,46,54"
Cinnamomum oliveri,highly_susceptible,Cinnamomum oliveri,Cinnamomum oliveri,Lauraceae,"Qld, NSW",Jacksonia furcellata,24,,,HS24
Eucalyptus fraxionoides,highly_susceptible,Eucalyptus fraxinoides,Eucalyptus fraxinoides,Myrtaceae,"NSW, Vic",Jacksonia grevilleoides,,,,MS40
Eucalyptus smithii,highly_susceptible,Eucalyptus smithii,Eucalyptus smithii,Myrtaceae,"NSW, Vic",Jacksonia horrida ,,,,S46
Hypocalymma strictum s.l.,highly_susceptible,Hypocalymma strictum,Hypocalymma strictum,Myrtaceae,WA,Jacksonia sericea,,,,MS41
Melaleuca squamea,highly_susceptible,Melaleuca squamea,Melaleuca squamea,Myrtaceae,"SA, NSW, Vic, Tas",Jacksonia spinosa,51,,,"S51,LS40"
Thryptomene micrantha,highly_susceptible,Thryptomene micrantha,Thryptomene micrantha,Myrtaceae,"SA, Vic, Tas",Jacksonia sternbergiana,24,,,HS24
Adenanthos cacomorphus,highly_susceptible,Adenanthos cacomorphus,Adenanthos cacomorphus,Proteaceae,WA,Jacksonia sp. aff. furcelata,,,,MS40
Adenanthos cygnorum subsp. chamaephyton,highly_susceptible,Adenanthos cygnorum subsp. chamaephyton,Adenanthos cygnorum subsp. chamaephyton,Proteaceae,WA,Kennedia coccinea,"14,24",,21,"FR24,MS21"
Adenanthos eyrei E,highly_susceptible,Adenanthos eyrei,Adenanthos eyrei,Proteaceae,WA,Kennedia prostrata,"29,24",,,FR24
Adenanthos glabrescens subsp. exasperatus,highly_susceptible,Adenanthos glabrescens subsp. exasperatus,Adenanthos glabrescens subsp. exasperatus,Proteaceae,WA,Latrobea genistoides ,,,,S51
Adenanthos gracilipes,highly_susceptible,Adenanthos gracilipes,Adenanthos gracilipes,Proteaceae,WA,Latrobea hirtella ,,,,S51
Adenanthos velutinus E,highly_susceptible,Adenanthos velutinus,Adenanthos velutinus,Proteaceae,WA,Mirbelia dilatata,24,,,FR24
Agastachys odorata,highly_susceptible,Agastachys odorata,Agastachys odorata,Proteaceae,Tas,Oxylobium arborescens,"2,8,17",,,
Banksia chamaephyton,highly_susceptible,Banksia chamaephyton,Banksia chamaephyton,Proteaceae,WA,Oxylobium ellipticum,"2,17,35",,,FR22HS35
Banksia dryandroides,highly_susceptible,Banksia dryandroides,Banksia dryandroides,Proteaceae,WA,Oxylobium ilicifolium,2,,,
Banksia elegans,highly_susceptible,Banksia elegans,Banksia elegans,Proteaceae,WA,Phyllota diffusa,"17,34",,,HS34
Banksia epica,highly_susceptible,Banksia epica,Banksia epica,Proteaceae,WA,Platylobium formosum,"25,34",,,"S43,HS60"
Banksia lullfitzii,highly_susceptible,Banksia lullfitzii,Banksia lullfitzii,Proteaceae,WA,Platylobium obtusangulum,"4,17,29, 34",,,S43
Banksia meisneri var. ascendens,highly_susceptible,Banksia meisneri subsp. ascendens,Banksia meisneri subsp. ascendens,Proteaceae,WA,Pultenaea altissima,,3,,
Banksia ornata,highly_susceptible,Banksia ornata,Banksia ornata,Proteaceae,"SA, Vic",Pultenaea benthamii,13,,,
Banksia pulchella,highly_susceptible,Banksia pulchella,Banksia pulchella,Proteaceae,WA,Pultenaea cunninghamii,2,,,
Banksia saxicola,highly_susceptible,Banksia saxicola,Banksia saxicola,Proteaceae,Vic,Pultenaea daphnoides,"2,13,17,34",,,"HS22,34"
Banksia scabrella,highly_susceptible,Banksia scabrella,Banksia scabrella,Proteaceae,WA,Pultenaea ericifolia,,,,FR40
Banksia sceptrum,highly_susceptible,Banksia sceptrum,Banksia sceptrum,Proteaceae,WA,Pultenaea graveolens,32,,,HS32
Banksia victoriae,highly_susceptible,Banksia victoriae,Banksia victoriae,Proteaceae,WA,Pultenaea gunnii,"17,25,34",,,"S43,HS34"
Cennarrhenes nitida,highly_susceptible,Cenarrhenes nitida,Cenarrhenes nitida,Proteaceae,Tas,Pultenaea hibbertioides,,,9,HS9
Dryandra acanthopoda,highly_susceptible,Banksia acanthopoda,Banksia acanthopoda,Proteaceae,WA,Pultenaea humilis,"4,25,29",,,S43
Dryandra baxteri,highly_susceptible,Banksia biterax,Banksia biterax,Proteaceae,WA,Pultenaea involucrata,18,,,
Dryandra comosa,highly_susceptible,Banksia comosa,Banksia comosa,Proteaceae,WA,Pultenaea juniperina s.l.,"17,34",,,HS34
Dryandra conferta var. parva,highly_susceptible,Banksia densa var. parva,Banksia densa var. parva,Proteaceae,WA,Pultenaea mollis,"9,25",,,S43
Dryandra cynaroides,highly_susceptible,Banksia cynaroides,Banksia cynaroides,Proteaceae,WA,Pultenaea palacea var. sericea,,,9,HS9
Dryandra erythrocephala var. inopinata,highly_susceptible,Banksia erythrocephala var. inopinata,Banksia erythrocephala var. inopinata,Proteaceae,WA,Pultenaea pedunculata,"4,25,34",,,S43
Dryandra falcata,highly_susceptible,Banksia falcata,Banksia falcata,Proteaceae,WA,Pultenaea procumbens,3,,,
Dryandra ferruginea subsp. pumila,highly_susceptible,Banksia rufa subsp. pumila,Banksia rufa subsp. pumila,Proteaceae,WA,Pultenaea prostrata,,,9,HS9
Dryandra foliosissima,highly_susceptible,Banksia foliosissima,Banksia foliosissima,Proteaceae,WA,Pultenaea pycnocephala,13,,,
Dryandra fraseri var. oxycedra,highly_susceptible,Banksia fraseri var. oxycedra,Banksia fraseri var. oxycedra,Proteaceae,WA,Pultenaea reticulata,"2,15",,,"HS40,59"
Dryandra horrida,highly_susceptible,Banksia horrida,Banksia horrida,Proteaceae,WA,Pultenaea scabra,25,,,S43
