taxon_name,trait_name,trait_value,units,value_type,,,location,,,
Beyeria cockertonii ,plant_height,25,cm,maximum,,,Fitzerald River National Park,,,
Beyeria cockertonii ,stem_growth_habit,upright,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,stem_hairiness,hairs_short_glandular,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,stem_morphology,resinous,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,bark_texture,tessellated,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,bark_colour,grey,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,leaf_length,6,mm,minimum,,,Fitzerald River National Park,,,
Beyeria cockertonii ,leaf_length,7,mm,maximum,,,Fitzerald River National Park,,,
Beyeria cockertonii ,leaf_margin_posture,recurved,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,flower_colour,yellow,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,,,
Beyeria cockertonii ,flower_length,1,mm,minimum,,,Fitzerald River National Park,,,
Beyeria cockertonii ,flower_length,2,mm,maximum,,,Fitzerald River National Park,,,
Beyeria cockertonii ,fruit_colour,green,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,fruit_hairiness,glabrous,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,population_count,2,'{count}',raw,,,Fitzerald River National Park,,,
Beyeria cockertonii ,area_of_occupancy,17.2,ha,raw,,,Fitzerald River National Park,,,
Beyeria cockertonii ,individual_count,318000,'{count}',raw,,,Fitzerald River National Park,,,
Beyeria cockertonii ,habitat,mallee_heath,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,geology,komatiite,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,soil_type,clay_smectite,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,topographic_position,slopes_rocky hilltops,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,seed_storage_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Beyeria cockertonii ,seedling_establishment_conditions,establish_intermediate_to_mature_vegetation establish_post_fire,,,,,Fitzerald River National Park,,,
Boronia clavata ,phytophthora_cinnamomi_susceptibility,resistant_presumed,,,,,Fitzerald River National Park,,,
Boronia clavata ,stem_growth_habit,erect slender,,,,,Fitzerald River National Park,,,
Boronia clavata ,flower_colour,yellow green,,,,,Fitzerald River National Park,,,
Boronia clavata ,population_count,5,'{count}',raw,,,Fitzerald River National Park,,,
Boronia clavata ,extent_of_occurrence,76,km2,raw,,,Fitzerald River National Park,,,
Boronia clavata ,area_of_occupancy,5,km2,raw,,,Fitzerald River National Park,,,
Boronia clavata ,individual_count,97,'{count}',raw,,,Fitzerald River National Park,,,
Boronia clavata ,topographic_position,floodplains alluvial_flats,,,,,Fitzerald River National Park,,,
Boronia clavata ,geology,spongolite,,,,,Fitzerald River National Park,,,
Boronia clavata ,habitat,thickets_shrubby,,,,,Fitzerald River National Park,,,
Boronia clavata ,soil_type,alluvial_sand alluvial_loam,,,,,Fitzerald River National Park,,,
Boronia clavata ,flowering_time,Aug-Oct,,,,,Fitzerald River National Park,,,
Boronia clavata ,germination_stimulant,flooding,,,,,Fitzerald River National Park,,,
Boronia clavata ,germination_treatment,scarification,,,,,Fitzerald River National Park,,,
Boronia clavata ,pollination_syndrome,insect,,,,,Fitzerald River National Park,,,
Boronia clavata ,phytophthora_cinnamomi_susceptibility,resistant_presumed,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,plant_height,5,cm,maximum,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,leaf_length,4,cm,minimum,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,leaf_length,6,cm,maximum,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,leaf_shape,lanceolate,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,stem_growth_habit,semi_prostrate,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,flower_width,1,cm,minimum,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,flower_width,1.5,cm,maximum,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,flower_colour,green orange,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,population_count,10,'{count}',raw,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,individual_count,330,'{count}',raw,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,phytophthora_cinnamomi_susceptibility,resistant_presumed,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,dispersal_syndrome,barochore,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,dispersers,wind,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,germination_stimulant,soil_borne_fungi,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,resprouting_capacity,fire_killed,,,annual_timing: growing season,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,resprouting_capacity,resprouts,,,annual_timing: dormant season,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,flowering_time,Aug-Sep,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,pollination_system,male_Thynnine_wasps,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,geology,granite,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,habitat,woodland_open,,,,,Fitzerald River National Park,,,
Caladenia bryceana subsp. bryceana,soil_type,sandy_clay red_loam,,,,,Fitzerald River National Park,,,
Calochilus pruinosus ,flower_length,14,mm,minimum,,,Fitzerald River National Park,,,
Calochilus pruinosus ,flower_length,19,mm,maximum,,,Fitzerald River National Park,,,
Calochilus pruinosus ,flower_colour,pinkish-green pinkish-brown,,,,,Fitzerald River National Park,,,
Calochilus pruinosus ,plant_photosynthetic_organ,bract,,,,,Fitzerald River National Park,,,
Calochilus pruinosus ,leaf_type,leafless,,,,,Fitzerald River National Park,,,
Calochilus pruinosus ,population_count,3,'{count}',raw,,,Fitzerald River National Park,,,
Calochilus pruinosus ,habitat,mallee_shrubland woodland,,,,,Fitzerald River National Park,,,
Calochilus pruinosus ,soil_type,sandy_well-drained,,,,,Fitzerald River National Park,,,
Calochilus pruinosus ,pollination_system,male_wasps self,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,plant_width,40,cm,maximum,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,stem_growth_habit,tufted rhizomatous,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,leaf_length,20,cm,minimum,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,leaf_length,35,cm,maximum,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,leaf_shape,linear,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,leaf_margin_hairiness,bristle_short_dark,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,flower_colour,yellow,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,flowers_per_inflorescence,6,'{count}',maximum,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,inflorescence_length,20,mm,maximum,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,population_count,17,'{count}',raw,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,extent_of_occurrence,4400,km2,raw,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,soil_type,grey_sand laterite_clay,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,topographic_position,plains_undulating,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,habitat,heath_low,,,,,Fitzerald River National Park,,,
Conostylis lepidospermoides ,pollination_syndrome,birds insects,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,flowers_per_inflorescence,1,'{count}',mean,,,Fitzerald River National Park,,,
Coopernookia georgei ,flower_length,2,cm,maximum,,,Fitzerald River National Park,,,
Coopernookia georgei ,flower_colour,pink blue,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,population_count,4,'{count}',raw,,,Fitzerald River National Park,,,
Coopernookia georgei ,individual_count,500,'{count}',maximum,,,Fitzerald River National Park,,,
Coopernookia georgei ,extent_of_occurrence,65,km2,raw,,,Fitzerald River National Park,,,
Coopernookia georgei ,area_of_occupancy,0.2,ha,maximum,,,Fitzerald River National Park,,,
Coopernookia georgei ,germination_stimulant,fire,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,habitat,scrub_thick,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,soil_type,siliceous_soils,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,geology,quartzite,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,topographic_position,stony_gullies,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Coopernookia georgei ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,leaf_colour,green-dull,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,leaf_lamina_posture,flat,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,leaf_axil_angle_categorical,erect,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,flower_colour,yellow,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,flower_length,1,cm,mean,,,Fitzerald River National Park,,,
Daviesia megacalyx ,frit_shape,angular,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,fruit_length,1.5,cm,mean,,,Fitzerald River National Park,,,
Daviesia megacalyx ,population_count,9,'{count}',raw,,,Fitzerald River National Park,,,
Daviesia megacalyx ,individual_count,109477,'{count}',mean,,,Fitzerald River National Park,,,
Daviesia megacalyx ,area_of_occupancy,85,ha,maximum,,,Fitzerald River National Park,,,
Daviesia megacalyx ,geology,laterite,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,topographic_position,slopes ridge,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,habitat,mallee_heath,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,soil_type,red_gravely_clay,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,flowering_time,Jul-Sep,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,reproductive_maturity,4,a,mean,,,Fitzerald River National Park,,,
Daviesia megacalyx ,sex_type,hermaphrodite,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,pollination_syndrome,bees,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,fruiting_time,Oct-Dec,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,seed_bank_location,soil_seedbank,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Daviesia megacalyx ,phytophthora_cinnamomi_susceptibility,unknown,,,,,Fitzerald River National Park,,,
Daviesia obovata,leaf_axil_angle_categorical,erect,,,,,Fitzerald River National Park,,,
Daviesia obovata,flower_colour,yellow black,,,,,Fitzerald River National Park,,,
Daviesia obovata,fruit_woodiness,woody,,,,,Fitzerald River National Park,,,
Daviesia obovata,population_count,11,'{count}',raw,,,Fitzerald River National Park,,,
Daviesia obovata,extent_of_occurrence,500,km2,,,,Fitzerald River National Park,,,
Daviesia obovata,area_of_occupancy,0.3,km2,,,,Fitzerald River National Park,,,
Daviesia obovata,soil_type,loam_stony loam_sandy,,,,,Fitzerald River National Park,,,
Daviesia obovata,topographic_position,slopes outcrops,,,,,Fitzerald River National Park,,,
Daviesia obovata,flowering_time,Sep-Oct,,,,,Fitzerald River National Park,,,
Daviesia obovata,sex_type,hermaphrodite,,,,,Fitzerald River National Park,,,
Daviesia obovata,pollination_syndrome,bees,,,,,Fitzerald River National Park,,,
Daviesia obovata,fruiting_time,Dec-Jan,,,,,Fitzerald River National Park,,,
Daviesia obovata,resprouting_capacity,partial_resprouting,,,,,Fitzerald River National Park,,,
Daviesia obovata,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Daviesia obovata,phytophthora_cinnamomi_susceptibility,susceptible,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,plant_height,2.5,mm,maximum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,stem_growth_habit,erect,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,stem_morphology,resinous,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,flower_colour,red,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,sepal_length,3.5,mm,minimum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,sepal_length,9,mm,maximum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,fruit_length,10,mm,minimum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,fruit_length,11,mm,maximum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,fruit_width,8,mm,minimum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,fruit_width,9,mm,maximum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,seeds_per_fruit,1,'{count}',minimum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,seeds_per_fruit,2,'{count}',maximum,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,leaf_margin,toothed_dentate,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,fruit_shape,beaked,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,population_count,4,'{count}',raw,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,extent_of_occurrence,70,km2,raw,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,individual_count,5000,'{count}',raw,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,geology,granite,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,habitat,woodland_open_tall,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,topographic_position,riverbanks plains,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,soil_type,alluvial sandy_clay_loam,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,flowering_time,Oct-Jan,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,lifespan,10,a,mean,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,seed_bank_location,soil,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,phytophthora_cinnamomi_susceptibility,resistant_presumed,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Eremophila denticulata subsp. denticulata,disturbance_response,fire_opportunist disturbance_opportunist,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,plant_height,10,cm,maximum,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,plant_width,1.5,m,width,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,stem_growth_habit,prostrate,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,leaf_surface_reflectivity,glossy,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,leaf_colour,green,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,flower_colour,orange,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,population_count,8,'{count}',raw,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,extent_of_occurrence,530,km2,raw,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,individual_count,50,'{count}',maximum,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,area_of_occupancy,2,ha,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,habitat,woodland_open,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,topographic_position,flats salt_lakes,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,soil_type,sandy_loam saline_slightly,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,flowering_time,Jul-Mar,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,disturbance_response,disturbance_opportunist,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,resprouting_capacity,fire_killed,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,seed_bank_location,soil,,,,,Fitzerald River National Park,,,
Eremophila subteretifolia ,post_fire_recruitment,post_fire_recruitment,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,bark_colour,grey_dark orange_dark,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,leaf_surface_reflectivity,glossy glandular,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,leaf_colour,green blue-green,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,flowers_per_inflorescence,7,'{count}',minimum,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,flowers_per_inflorescence,11,'{count}',maximum,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,flower_colour,cream yellow,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,seed_colour,black,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,seed_shape,ovoid ovoid_flattened,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,population_count,1,'{count}',raw,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,individual_count,4000,'{count}',maximum,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,geology,quartzite,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,habitat,mallee,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,topographic_position,slopes ridges,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,soil_type,sandy shallow,,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,flowering_time,"Jan-Mar, Jul-Aug",,,,,Fitzerald River National Park,,,
Eucalyptus burdettiana ,phytophthora_cinnamomi_susceptibility,unknown,,,,,Fitzerald River National Park,,,
Eucalyptus coronata ,plant_growth_form,mallee shrub,,,,,Fitzerald River National Park,,,
Eucalyptus coronata ,plant_height,2.5,m,maximum,,,Fitzerald River National Park,,,
Eucalyptus coronata ,leaf_colour,blue-green,,,,,Fitzerald River National Park,,,
Eucalyptus coronata ,flowers_per_inflorescence,3,'{count}',mean,,,Fitzerald River National Park,,,
Eucalyptus coronata ,flower_stalk_length,1.5,cm,mean,,,Fitzerald River National Park,,,
Eucalyptus coronata ,population_count,3,'{count}',raw,,,Fitzerald River National Park,,,
Eucalyptus coronata ,individual_count,2000,'{count}',maximum,,,Fitzerald River National Park,,,
Eucalyptus coronata ,extent_of_occurrence,47,km2,raw,,,Fitzerald River National Park,,,
Eucalyptus coronata ,geology,quartzite,,,,,Fitzerald River National Park,,,
Eucalyptus coronata ,soil_type,shallow,,,,,Fitzerald River National Park,,,
Eucalyptus coronata ,topographic_position,slopes summits,,,,,Fitzerald River National Park,,,
Eucalyptus coronata ,flowering_time,Jul-Aug,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,plant_height,10,m,maximum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_length,52,mm,minimum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_length,73,mm,maximum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_width,34,mm,minimum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_width,48,mm,maximum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_shape,ovate orbicular,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_surface_reflectivity,glossy,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,leaf_colour,green_dark,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,bud_length,9,mm,minimum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,bud_length,15,mm,maximum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,bud_width,4,mm,minimum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,bud_width,5,mm,maximum,,,Fitzerald River National Park,,,
Eucalyptus nutans ,flower_colour,red,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,seed_colour,black,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,seed_shape,ovoid_flattened,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,population_count,1,'{count}',raw,,,Fitzerald River National Park,,,
Eucalyptus nutans ,individual_count,20000,'{count}',mean,,,Fitzerald River National Park,,,
Eucalyptus nutans ,soil_type,gravelly_clay,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,geology,spongolitic_marine_sediments,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,topographic_position,coast,,,,,Fitzerald River National Park,,,
Eucalyptus nutans ,seed_bank_location,canopy_seedbank,,,,,Fitzerald River National Park,,,
