Species,Susceptibility Rating,suggested_name,accepted_name,family,taxon_distribution
Tricoryne elatior,field_resistant,Tricoryne elatior,Tricoryne elatior,Hemerocallidaceae,"WA, NT, SA, Qld, NSW, ACT, Vic, Tas"
Billardiera drummondiana,field_resistant,Marianthus drummondianus,Marianthus drummondianus,Pittosporaceae,WA
Billardiera fraseri,field_resistant,Billardiera fraseri,Billardiera fraseri,Pittosporaceae,WA
Pittosporum phillyreoides,field_resistant,Pittosporum phillyreoides,Pittosporum phillyreoides,Pittosporaceae,WA
Agrostis aemula,field_resistant,Lachnagrostis aemula,Lachnagrostis aemula,Poaceae,"WA, SA, Qld, NSW, LHI, ACT, Vic, Tas"
Amphipogon laguroides s.l.,field_resistant,Amphipogon laguroides,Amphipogon laguroides,Poaceae,WA
Anisopogon avenaceus,field_resistant,Anisopogon avenaceus,Anisopogon avenaceus,Poaceae,"NSW, Vic"
Austrostipa compressa,field_resistant,Austrostipa compressa,Austrostipa compressa,Poaceae,WA
Deyeuxia drummondii E,field_resistant,Deyeuxia drummondii,Deyeuxia drummondii,Poaceae,WA
Entolasia stricta,field_resistant,Entolasia stricta,Entolasia stricta,Poaceae,"Qld, NSW, Vic"
Neurachne alopecuroidea,field_resistant,Neurachne alopecuroidea,Neurachne alopecuroidea,Poaceae,"WA, SA, Vic"
Poa poiformis,field_resistant,Poa poiformis,Poa poiformis,Poaceae,"WA, SA, NSW, LHI, Vic, Tas"
Poa porphyroclados,field_resistant,Poa porphyroclados,Poa porphyroclados,Poaceae,WA
Poa sieberiana,field_resistant,Poa sieberiana,Poa sieberiana,Poaceae,"SA, Qld, NSW, ACT, Vic, Tas"
Tetrarrhena juncea,field_resistant,Tetrarrhena juncea,Tetrarrhena juncea,Poaceae,"SA, Qld, Vic, Tas"
Comesperma calymega,field_resistant,Comesperma calymega,Comesperma calymega,Polygalaceae,"WA, SA, Vic, Tas"
Comesperma confertum,field_resistant,Comesperma confertum,Comesperma confertum,Polygalaceae,WA
Grevillea hookeriana,field_resistant,Grevillea hookeriana [alternative possible names: Grevillea baxteri (pro parte misapplied) | Grevillea tetragonoloba (pro parte misapplied) | Grevillea cagiana (misapplied)],Grevillea hookeriana,Proteaceae,WA
Grevillea pilulifera,field_resistant,Grevillea pilulifera,Grevillea pilulifera,Proteaceae,WA
Grevillea synapheae,field_resistant,Grevillea synapheae,Grevillea synapheae,Proteaceae,WA
Grevillea wilsonii,field_resistant,Grevillea wilsonii,Grevillea wilsonii,Proteaceae,WA
Hakea amplexicaulis,field_resistant,Hakea amplexicaulis,Hakea amplexicaulis,Proteaceae,WA
Hakea corymbosa,field_resistant,Hakea corymbosa,Hakea corymbosa,Proteaceae,WA
Hakea petiolaris,field_resistant,Hakea petiolaris,Hakea petiolaris,Proteaceae,"WA, Vic (doubtfully naturalised)"
Hakea stenocarpa,field_resistant,Hakea stenocarpa,Hakea stenocarpa,Proteaceae,WA
Persoonia levis,field_resistant,Persoonia levis,Persoonia levis,Proteaceae,"NSW, Vic"
Persoonia linearis,field_resistant,Persoonia linearis,Persoonia linearis,Proteaceae,"NSW, Vic"
Stenocarpus sinuatus,field_resistant,Stenocarpus sinuatus,Stenocarpus sinuatus,Proteaceae,"Qld, NSW"
Anarthria gracilis,field_resistant,Anarthria gracilis,Anarthria gracilis,Anarthriaceae,WA
Anarthria prolifera,field_resistant,Anarthria prolifera,Anarthria prolifera,Anarthriaceae,WA
Anarthria scabra,field_resistant,Anarthria scabra,Anarthria scabra,Anarthriaceae,WA
Calorophus exsulcus,field_resistant,Hypolaena exsulca,Hypolaena exsulca,Restionaceae,WA
Chordifex abortivus E,field_resistant,Chordifex abortivus,Chordifex abortivus,Restionaceae,WA
Chordifex isomorphus,field_resistant,Chordifex isomorphus,Chordifex isomorphus,Restionaceae,WA
Harperia confertospicata,field_resistant,Desmocladus confertospicatus,Desmocladus confertospicatus,Restionaceae,WA
Leptocarpus tenax,field_resistant,Leptocarpus tenax,Leptocarpus tenax,Restionaceae,"WA, SA, Qld, NSW, Vic, Tas"
Lepyrodia scariosa,field_resistant,Lepyrodia scariosa,Lepyrodia scariosa,Restionaceae,"Qld, NSW"
Restio confertospicatus,field_resistant,Desmocladus confertospicatus,Desmocladus confertospicatus,Restionaceae,WA
Atractocarpus fitzalanii subsp. tenuipes,field_resistant,Atractocarpus fitzalanii subsp. tenuipes,Atractocarpus fitzalanii subsp. tenuipes,Rubiaceae,Qld
Boronia spathulata,field_resistant,Boronia spathulata,Boronia spathulata,Rutaceae,WA
Brombya platynema,field_resistant,Brombya platynema,Brombya platynema,Rutaceae,Qld
Flindersia pimenteliana,field_resistant,Flindersia pimenteliana,Flindersia pimenteliana,Rutaceae,Qld
Melicope elleryana,field_resistant,Melicope elleryana,Melicope elleryana,Rutaceae,"WA, NT, Qld, NSW"
Muiriantha hassellii,field_resistant,Muiriantha hassellii,Muiriantha hassellii,Rutaceae,WA
Leptomeria eriocoides,field_resistant,Leptomeria ericoides,Leptomeria ericoides,Santalaceae,WA
Dodonaea viscosa s.l.,field_resistant,Dodonaea viscosa,Dodonaea viscosa,Sapindaceae,"WA, CoI, ChI, NT, SA, Qld, NSW, LHI, NI, ACT, Vic, Tas"
Mischocarpus macrocarpus,field_resistant,Mischocarpus macrocarpus,Mischocarpus macrocarpus,Sapindaceae,Qld
Pouteria euphlebia,field_resistant,Planchonella euphlebia,Planchonella euphlebia,Sapotaceae,Qld
Pouteria papyracea,field_resistant,Pleioluma papyracea,Pleioluma papyracea,Sapotaceae,Qld
Pouteria pearsoniorum,field_resistant,Pleioluma macrocarpa,Pleioluma macrocarpa,Sapotaceae,Qld
Tripterococcus brunonis,field_resistant,Tripterococcus brunonis,Tripterococcus brunonis,Celastraceae,WA
Lasiopetalum membranifolium,field_resistant,Lasiopetalum membraniflorum,,Malvaceae,
Levenhookia pusilla,field_resistant,Levenhookia pusilla,Levenhookia pusilla,Stylidiaceae,"WA, SA, Vic"
Levenhookia stipitata,field_resistant,Levenhookia stipitata,Levenhookia stipitata,Stylidiaceae,"WA, SA"
Stylidium brunonianum,field_resistant,Stylidium brunonianum [alternative possible names: Stylidium araeophyllum (pro parte misapplied) | Stylidium purpureum (pro parte misapplied) | Stylidium tenue subsp. majusculum (pro parte misapplied) | Stylidium tenue subsp. majusculum (misapplied)],Stylidium brunonianum,Stylidiaceae,WA
Stylidium calcaratum,field_resistant,Stylidium calcaratum,Stylidium calcaratum,Stylidiaceae,"WA, SA"
Stylidium hispidum,field_resistant,Stylidium hispidum,Stylidium hispidum,Stylidiaceae,WA
Stylidium keigheryi,field_resistant,Stylidium keigheryi,Stylidium keigheryi,Stylidiaceae,WA
Stylidium piliferum subsp. minor,field_resistant,Stylidium piliferum,Stylidium piliferum,Stylidiaceae,WA
Stylidium repens,field_resistant,Stylidium repens,Stylidium repens,Stylidiaceae,WA
Stylidium scandens,field_resistant,Stylidium scandens [alternative possible names: Stylidium nymphaeum (pro parte misapplied)],Stylidium scandens,Stylidiaceae,WA
Stylidium spinulosum subsp. montanum,field_resistant,Stylidium spinulosum subsp. montanum,Stylidium spinulosum subsp. montanum,Stylidiaceae,WA
Stylidium sp. Stirling Range,field_resistant,Stylidium bellum,Stylidium bellum,Stylidiaceae,WA
Symplocos ampulliformis,field_resistant,Symplocos ampulliformis,Symplocos ampulliformis,Symplocaceae,Qld
Symplocos cochinchinenis var. gittonsii,field_resistant,Symplocos gittinsii,Symplocos gittinsii,Symplocaceae,Qld
Athrotaxis selaginoides,field_resistant,Athrotaxis selaginoides,Athrotaxis selaginoides,Cupressaceae,Tas
Bubbia semecarpoides,field_resistant,Bubbia semecarpoides,Bubbia semecarpoides,Winteraceae,Qld
Lomandra confertifolia s.l.,field_resistant,Lomandra confertifolia,Lomandra confertifolia,Asparagaceae,"Qld, NSW, Vic"
Lomandra hermaphrodita,field_resistant,Lomandra hermaphrodita,Lomandra hermaphrodita,Asparagaceae,WA
Lomandra longifolia,field_resistant,Lomandra longifolia,Lomandra longifolia,Asparagaceae,"SA, Qld, NSW, ACT, Vic, Tas"
Lomandra nigricans,field_resistant,Lomandra nigricans,Lomandra nigricans,Asparagaceae,WA
Lomandra obliqua,field_resistant,Lomandra obliqua,Lomandra obliqua,Asparagaceae,"Qld, NSW"
Lomandra preisii,field_resistant,Lomandra preissii,Lomandra preissii,Asparagaceae,WA
Lomandra spartea,field_resistant,Lomandra spartea,Lomandra spartea,Asparagaceae,WA
Platysace sp. Stirling,field_resistant,Platysace sp. Stirling (J.M.Fox 88/262),Platysace sp. Stirling (J.M.Fox 88/262),Apiaceae,WA
Xanthosia atkinsoniana,field_resistant,Xanthosia atkinsoniana,Xanthosia atkinsoniana,Apiaceae,"WA, NSW"
Xanthosia candida,field_resistant,Xanthosia candida,Xanthosia candida,Apiaceae,WA
Xanthosia rotundifolia s.l.,field_resistant,Xanthosia rotundifolia,Xanthosia rotundifolia,Apiaceae,WA
Cyathochaeta avenacea,field_resistant,Cyathochaeta avenacea,Cyathochaeta avenacea,Cyperaceae,WA
Lepidosperma squamatum,field_resistant,Lepidosperma squamatum,Lepidosperma squamatum,Cyperaceae,WA
Mesomelaena tetragona,field_resistant,Mesomelaena tetragona,Mesomelaena tetragona,Cyperaceae,WA
Schoenus efoliatus,field_resistant,Schoenus efoliatus,Schoenus efoliatus,Cyperaceae,WA
Schoenus sp. Stirling,field_resistant,Schoenus sp. Stirling (G.J.Keighery 3427),Schoenus sp. Stirling (G.J.Keighery 3427),Cyperaceae,WA
Tetraria capillaris,field_resistant,Tetraria capillaris,Tetraria capillaris,Cyperaceae,"WA, SA, Qld, NSW, Vic, Tas"
Drosera erythrorhiza s.l.,field_resistant,Drosera erythrorhiza,Drosera erythrorhiza,Droseraceae,WA
Astroloma pallidum,field_resistant,Styphelia pallida,Styphelia pallida,Ericaceae,WA
Phyllanthus calycinus,field_resistant,Phyllanthus calycinus,Phyllanthus calycinus,Phyllanthaceae,"WA, SA"
Bossiaea webbii,field_resistant,Bossiaea webbii,Bossiaea webbii,Fabaceae,WA
Goodenia scapigera,field_resistant,Goodenia scapigera,Goodenia scapigera,Goodeniaceae,WA
Lechenaultia biloba,field_resistant,Lechenaultia biloba,Lechenaultia biloba,Goodeniaceae,WA
Conostylis serrulata,field_resistant,Conostylis serrulata,Conostylis serrulata,Haemodoraceae,WA
Conostylis setigera s.l.,field_resistant,Conostylis setigera,Conostylis setigera,Haemodoraceae,WA
Conostylis setosa,field_resistant,Conostylis setosa,Conostylis setosa,Haemodoraceae,WA
Lindsaea linearis,field_resistant,Lindsaea linearis,Lindsaea linearis,Lindsaeaceae,"WA, SA, Qld, NSW, Vic, Tas"
Acacia barbinervis s.l.,field_resistant,Acacia barbinervis,Acacia barbinervis,Fabaceae,WA
Acacia drummondii s.l.,field_resistant,Acacia drummondii,Acacia drummondii,Fabaceae,WA
Acacia nervosa,field_resistant,Acacia nervosa,Acacia nervosa,Fabaceae,WA
Acacia veronica,field_resistant,Acacia veronica,Acacia veronica,Fabaceae,WA
Hypocalymma angustifolium s.l.,field_resistant,Hypocalymma angustifolium,Hypocalymma angustifolium,Myrtaceae,WA
Hypocalymma myrtifolium,field_resistant,Hypocalymma myrtifolium,Hypocalymma myrtifolium,Myrtaceae,WA
Caladenia flava,field_resistant,Caladenia flava,Caladenia flava,Orchidaceae,WA
Elythranthera brunonis,field_resistant,Elythranthera brunonis,Elythranthera brunonis,Orchidaceae,WA
Sollya drummondii,field_resistant,Billardiera drummondii,Billardiera drummondii,Pittosporaceae,WA
Hakea lissocarpha,field_resistant,Hakea lissocarpha,Hakea lissocarpha,Proteaceae,WA
Desmocladus flexuosa,field_resistant,Desmocladus flexuosus,Desmocladus flexuosus,Restionaceae,WA
Boronia crenulata s.l.,field_resistant,Boronia crenulata,Boronia crenulata,Rutaceae,WA
Philotheca spicata,field_resistant,Philotheca spicata,Philotheca spicata,Rutaceae,WA
Thomasia sp. Toolbrunup,field_resistant,Thomasia brachystachys,Thomasia brachystachys,Malvaceae,WA
Stylidium imbricatum,field_resistant,Stylidium imbricatum,Stylidium imbricatum,Stylidiaceae,WA
Pimelea hispida,field_resistant,Pimelea hispida,Pimelea hispida,Thymelaeaceae,WA
Lomandra pauciflora,field_resistant,Lomandra pauciflora,Lomandra pauciflora,Asparagaceae,WA
Xyris exilis V,field_resistant,Xyris exilis,Xyris exilis,Xyridaceae,WA
Goodenia caerulea,field_resistant,Goodenia caerulea,Goodenia caerulea,Goodeniaceae,WA
Baeckea camphorosmae,field_resistant,Babingtonia camphorosmae,Babingtonia camphorosmae,Myrtaceae,WA
Corymbia calophylla,field_resistant,Corymbia calophylla,Corymbia calophylla,Myrtaceae,"WA, SA (doubtfully naturalised)"
Stylidium verticillatum,field_resistant,Stylidium verticillatum,Stylidium verticillatum,Stylidiaceae,WA
Pteridium esculentum,field_resistant presumed_resistant,Pteridium esculentum,Pteridium esculentum,Dennstaedtiaceae,"WA, SA, Qld, NSW, NI, ACT, Vic, Tas"
Hovea chorizemifolia,field_resistant presumed_resistant,Hovea chorizemifolia,Hovea chorizemifolia,Fabaceae,WA
Logania serpyllifolia s.l.,field_resistant presumed_resistant,Orianthera serpyllifolia,Orianthera serpyllifolia,Loganiaceae,WA
Acacia urophylla,field_resistant presumed_resistant,Acacia urophylla,Acacia urophylla,Fabaceae,WA
Acacia pulchella s.l.,field_resistant low_susceptibility,Acacia pulchella,Acacia pulchella,Fabaceae,"WA, NSW (naturalised)"
Calothamnus affinis,field_resistant low_susceptibility,Calothamnus affinis,Calothamnus affinis,Myrtaceae,WA
Hakea ruscifolia,field_resistant low_susceptibility,Hakea ruscifolia,Hakea ruscifolia,Proteaceae,WA
Desmocladus fasciculatus,field_resistant low_susceptibility moderately_susceptible,Desmocladus fasciculatus,Desmocladus fasciculatus,Restionaceae,WA
Darwinia leiostyla,field_resistant low_susceptibility moderately_susceptible,Darwinia leiostyla,Darwinia leiostyla,Myrtaceae,WA
Kennedia coccinea,field_resistant moderately_susceptible,Kennedia coccinea,Kennedia coccinea,Fabaceae,WA
Grevillea fasciculata,field_resistant moderately_susceptible,Grevillea fasciculata,Grevillea fasciculata,Proteaceae,WA
Pentapeltis peltigera,field_resistant presumed_resistant,Pentapeltis peltigera,Pentapeltis peltigera,Apiaceae,WA
Drosera stolonifera s.l.,field_resistant presumed_resistant,Drosera stolonifera,Drosera stolonifera,Droseraceae,WA
Acacia lateriticola,field_resistant presumed_resistant,Acacia lateriticola,Acacia lateriticola,Fabaceae,WA
Tetrarrhena laevis,field_resistant presumed_resistant,Tetrarrhena laevis,Tetrarrhena laevis,Poaceae,WA
Clematis pubescens,field_resistant presumed_resistant,Clematis pubescens,Clematis pubescens,Ranunculaceae,WA
Leptomeria cunninghamii,field_resistant presumed_resistant,Leptomeria cunninghamii,Leptomeria cunninghamii,Santalaceae,WA
Patersonia umbrosa,field_resistant susceptible_but_degree_unknown,Patersonia umbrosa,Patersonia umbrosa,Iridaceae,WA
Leucopogon propinquus,field_resistant susceptible_but_degree_unknown,Styphelia propinqua,Styphelia propinqua,Ericaceae,WA
Patersonia occidentalis,field_resistant susceptible_but_degree_unknown field_resistant,Patersonia occidentalis,Patersonia occidentalis,Iridaceae,"WA, SA, Vic, Tas"
Platysace compressa,field_resistant susceptible_but_degree_unknown highly_susceptible,Platysace compressa,Platysace compressa,Apiaceae,WA
Oxylobium ellipticum,field_resistanthighly_susceptible,Oxylobium ellipticum,Oxylobium ellipticum,Fabaceae,"NSW, ACT, Vic, Tas"
Agrostocrinum scabrum,field_resistant susceptible_but_degree_unknown,Agrostocrinum scabrum,Agrostocrinum scabrum,Hemerocallidaceae,WA
Borya mirabilis E,highly_susceptible,Borya mirabilis,Borya mirabilis,Boryaceae,Vic
Blandfordia punicea,highly_susceptible,Blandfordia punicea,Blandfordia punicea,Blandfordiaceae,Tas
Allocasuarina duncanii,highly_susceptible,Allocasuarina duncanii,Allocasuarina duncanii,Casuarinaceae,Tas
Hibbertia calycina,highly_susceptible,Hibbertia calycina,Hibbertia calycina,Dilleniaceae,"NSW, ACT, Vic, Tas"
Hibbertia glomerata s.l.,highly_susceptible,Hibbertia glomerata,Hibbertia glomerata,Dilleniaceae,WA
Hibbertia subvaginata,highly_susceptible,Hibbertia subvaginata,Hibbertia subvaginata,Dilleniaceae,WA
Acrotriche cordata,highly_susceptible,Acrotriche cordata,Acrotriche cordata,Ericaceae,"WA, SA, Vic, Tas"
Acrotriche patula,highly_susceptible,Acrotriche patula,Acrotriche patula,Ericaceae,"WA, SA"
Andersonia auriculata,highly_susceptible,Andersonia auriculata,Andersonia auriculata,Ericaceae,WA
Andersonia bifida,highly_susceptible,Andersonia bifida,Andersonia bifida,Ericaceae,WA
Andersonia carinata,highly_susceptible,Andersonia carinata,Andersonia carinata,Ericaceae,WA
Andersonia longifolia,highly_susceptible,Andersonia longifolia,Andersonia longifolia,Ericaceae,WA
Andersonia macranthera,highly_susceptible,Andersonia macranthera,Andersonia macranthera,Ericaceae,WA
Andersonia setifolia,highly_susceptible,Andersonia setifolia,Andersonia setifolia,Ericaceae,WA
Astroloma foliosum,highly_susceptible,Styphelia foliosa,Styphelia foliosa,Ericaceae,WA
Astroloma sp. Cataby (EA Griffin 1022),highly_susceptible,Styphelia oblongifolia,Styphelia oblongifolia,Ericaceae,WA
Astroloma sp. Eneabba (N Marchant s.n.),highly_susceptible,Astroloma sp. Eneabba (N.Marchant s.n. PERTH 01291777),,Ericaceae,
Astroloma sp. Mt Lindesay,highly_susceptible,Astroloma sp. [Astroloma sp. Mt Lindesay],,Ericaceae,
Astroloma sp. Nannup (RD Royce 3978),highly_susceptible,Styphelia sp. Nannup (R.D.Royce 3978),Styphelia sp. Nannup (R.D.Royce 3978),Ericaceae,WA
Astroloma sp. 2504,highly_susceptible,Astroloma sp. [Astroloma sp. 2504],,Ericaceae,
Brachyloma depressum,highly_susceptible,Brachyloma depressum,Brachyloma depressum,Ericaceae,"Vic, Tas"
Coleanthera coelophylla,highly_susceptible,Styphelia coelophylla,Styphelia coelophylla,Ericaceae,WA
Conostephium minus,highly_susceptible,Conostephium minus,Conostephium minus,Ericaceae,WA
Epacris apsleyensis E,highly_susceptible,Epacris apsleyensis,Epacris apsleyensis,Ericaceae,Tas
Epacris barbata CE,highly_susceptible,Epacris barbata,Epacris barbata,Ericaceae,Tas
Epacris corymbiflora,highly_susceptible,Epacris corymbiflora,Epacris corymbiflora,Ericaceae,Tas
Epacris curtisiae,highly_susceptible,Epacris curtisiae,Epacris curtisiae,Ericaceae,Tas
Epacris grandis E,highly_susceptible,Epacris grandis,Epacris grandis,Ericaceae,Tas
Epacris limbata CE,highly_susceptible,Epacris limbata,Epacris limbata,Ericaceae,Tas
Epacris marginata,highly_susceptible,Epacris marginata,Epacris marginata,Ericaceae,Tas
Epacris myrtifolia,highly_susceptible,Epacris myrtifolia,Epacris myrtifolia,Ericaceae,Tas
Epacris paludosa,highly_susceptible,Epacris paludosa,Epacris paludosa,Ericaceae,"NSW, ACT, Vic, Tas"
Epacris virgata,highly_susceptible,Epacris virgata,Epacris virgata,Ericaceae,Tas
Epacridaceae gen. nov. (aff. Melichrus),highly_susceptible,,,,
Leptecophylla pendulosa,highly_susceptible,Leptecophylla pendulosa,Leptecophylla pendulosa,Ericaceae,Tas
Leucopogon amplectens,highly_susceptible,Leucopogon amplectens,Leucopogon amplectens,Ericaceae,WA
Leucopogon apiculatus,highly_susceptible,Leucopogon apiculatus,Leucopogon apiculatus,Ericaceae,WA
Leucopogon blepharolepis,highly_susceptible,Styphelia blepharolepis,Styphelia blepharolepis,Ericaceae,WA
Leucopogon bracteolaris,highly_susceptible,Leucopogon bracteolaris,Leucopogon bracteolaris,Ericaceae,WA
Leucopogon brevicuspis,highly_susceptible,Styphelia brevicuspis,Styphelia brevicuspis,Ericaceae,WA
Leucopogon breviflorus,highly_susceptible,Styphelia breviflora,Styphelia breviflora,Ericaceae,WA
Leucopogon collinus,highly_susceptible,Leucopogon collinus [alternative possible names: Leucopogon pilifer (pro parte misapplied) | Leucopogon glacialis (misapplied)],Leucopogon collinus,Ericaceae,"NSW, Vic, Tas"
Leucopogon cordifolius,highly_susceptible,Styphelia cordifolia,Styphelia cordifolia,Ericaceae,"WA, SA, Vic"
Leucopogon cryptanthus,highly_susceptible,Leucopogon cryptanthus,Leucopogon cryptanthus,Ericaceae,WA
Leucopogon denticulatus,highly_susceptible,Leucopogon denticulatus,Leucopogon denticulatus,Ericaceae,WA
Leucopogon distans s.l.,highly_susceptible,Leucopogon distans,Leucopogon distans,Ericaceae,WA
Leucopogon florulentus,highly_susceptible,Leucopogon florulentus,Leucopogon florulentus,Ericaceae,WA
Leucopogon glaucifolius,highly_susceptible,Styphelia glaucifolia,Styphelia glaucifolia,Ericaceae,WA
Leucopogon interruptus,highly_susceptible,Leucopogon interruptus,Leucopogon interruptus,Ericaceae,WA
Leucopogon marginatus E,highly_susceptible,Styphelia marginata,Styphelia marginata,Ericaceae,WA
Leucopogon multiflorus,highly_susceptible,Styphelia multiflora,Styphelia multiflora,Ericaceae,WA
Leucopogon oliganthus,highly_susceptible,Leucopogon oliganthus,Leucopogon oliganthus,Ericaceae,WA
Leucopogon pleurandroides,highly_susceptible,Lissanthe pleurandroides,Lissanthe pleurandroides,Ericaceae,WA
Leucopogon plumulifolius,highly_susceptible,Leucopogon plumuliflorus,Leucopogon plumuliflorus,Ericaceae,WA
Leucopogon pogonocalyx,highly_susceptible,Styphelia pogonocalyx,Styphelia pogonocalyx,Ericaceae,WA
Leucopogon polystachyus,highly_susceptible,Leucopogon polystachyus,Leucopogon polystachyus,Ericaceae,WA
Leucopogon tamariscinus,highly_susceptible,Leucopogon tamariscinus,Leucopogon tamariscinus,Ericaceae,WA
Leucopogon sp. Cascades (MA Burgman 3700),highly_susceptible,Leucopogon sp. Cascades (M.Hislop 3693),Leucopogon sp. Cascades (M.Hislop 3693),Ericaceae,WA
Leucopogon sp. Clyde Hill (MA Burgman 1207),highly_susceptible,Leucopogon sp. Clyde Hill (M.A.Burgman 1207),Leucopogon sp. Clyde Hill (M.A.Burgman 1207),Ericaceae,WA
Leucopogon sp. Condingup (MA Burgman 1377),highly_susceptible,Styphelia woodsii,Styphelia woodsii,Ericaceae,"WA, SA, Vic"
Leucopogon sp. Coujinup (MA Burgman 1085),highly_susceptible,Leucopogon sp. Coujinup (M.A.Burgman 1085),Leucopogon sp. Coujinup (M.A.Burgman 1085),Ericaceae,WA
Leucopogon sp. Dundas (MA Burgman 1482),highly_susceptible,Leucopogon sp. [Leucopogon sp. Dundas (MA Burgman 1482)],,Ericaceae,
Leucopogon sp. Kau Rock (MA Burgman 1126),highly_susceptible,Styphelia subulata,Styphelia subulata,Ericaceae,WA
Leucopogon sp. Munglinup (KR Newbey 8123),highly_susceptible,Brachyloma nguba,Brachyloma nguba,Ericaceae,WA
Leucopogon sp. Peak Charles (MA Burgman 1476),highly_susceptible,Leucopogon sp. [Leucopogon sp. Peak Charles (MA Burgman 1476)],,Ericaceae,
Leucopogon sp. Roberts Swamp (KR Newbey 8173),highly_susceptible,Leucopogon rugulosus,Leucopogon rugulosus,Ericaceae,WA
Leucopogon sp. Yanneymooning (F Mollemans 3797),highly_susceptible,Leucopogon sp. Yanneymooning (F.Mollemans 3797),Leucopogon sp. Yanneymooning (F.Mollemans 3797),Ericaceae,WA
Monotoca leucantha,highly_susceptible,Dielsiodoxa leucantha,Dielsiodoxa leucantha,Ericaceae,WA
Monotoca oligarrhenoides,highly_susceptible,Dielsiodoxa oligarrhenoides,Dielsiodoxa oligarrhenoides,Ericaceae,WA
Monotoca sp. aff. elliptica (D. Albrecht pers. comm.),highly_susceptible,Monotoca sp. [Monotoca sp. aff. elliptica (D. Albrecht pers. comm.)],,Ericaceae,
Richea pandanifolius,highly_susceptible,Dracophyllum pandanifolium,Dracophyllum pandanifolium,Ericaceae,Tas
Sphenotoma gracilis,highly_susceptible,Sphenotoma gracilis,Sphenotoma gracilis,Ericaceae,WA
Daviesia glossosema,highly_susceptible,Daviesia glossosema,Daviesia glossosema,Fabaceae,WA
Daviesia mesophylla,highly_susceptible,Daviesia mesophylla,Daviesia mesophylla,Fabaceae,WA
Daviesia obovata,highly_susceptible,Daviesia obovata,Daviesia obovata,Fabaceae,WA
Daviesia preissii,highly_susceptible,Daviesia preissii,Daviesia preissii,Fabaceae,WA
Daviesia wyattiana,highly_susceptible,Daviesia wyattiana,Daviesia wyattiana,Fabaceae,"Qld, NSW, Vic"
Daviesia sp. 4,highly_susceptible,"Daviesia sp. 4 (sp.""lep""; Fitzgerald River N.P.)",,Fabaceae,
Gastrolobium luteifolium,highly_susceptible,Gastrolobium luteifolium,Gastrolobium luteifolium,Fabaceae,WA
Jacksonia furcellata,highly_susceptible,Jacksonia furcellata,Jacksonia furcellata,Fabaceae,WA
Jacksonia sternbergiana,highly_susceptible,Jacksonia sternbergiana,Jacksonia sternbergiana,Fabaceae,WA
Phyllota diffusa,highly_susceptible,Phyllota diffusa,Phyllota diffusa,Fabaceae,Tas
Pultenaea graveolens,highly_susceptible,Pultenaea graveolens,Pultenaea graveolens,Fabaceae,"SA, Vic"
Pultenaea hibbertioides,highly_susceptible,Pultenaea mollis,Pultenaea mollis,Fabaceae,"NSW, Vic, Tas"
Pultenaea juniperina s.l.,highly_susceptible,Pultenaea juniperina,Pultenaea juniperina,Fabaceae,"NSW, ACT, Vic, Tas"
Pultenaea palacea var. sericea,highly_susceptible,Pultenaea sericea,Pultenaea sericea,Fabaceae,"NSW, Vic, Tas"
Pultenaea prostrata,highly_susceptible,Pultenaea prostrata,Pultenaea prostrata,Fabaceae,"SA, Vic, Tas"
Pultenaea subalpina,highly_susceptible,Pultenaea subalpina,Pultenaea subalpina,Fabaceae,Vic
Isophysis tasmanica,highly_susceptible,Isophysis tasmanica,Isophysis tasmanica,Iridaceae,Tas
Cinnamomum oliveri,highly_susceptible,Cinnamomum oliveri,Cinnamomum oliveri,Lauraceae,"Qld, NSW"
Eucalyptus fraxionoides,highly_susceptible,Eucalyptus fraxinoides,Eucalyptus fraxinoides,Myrtaceae,"NSW, Vic"
Eucalyptus smithii,highly_susceptible,Eucalyptus smithii,Eucalyptus smithii,Myrtaceae,"NSW, Vic"
Hypocalymma strictum s.l.,highly_susceptible,Hypocalymma strictum,Hypocalymma strictum,Myrtaceae,WA
Melaleuca squamea,highly_susceptible,Melaleuca squamea,Melaleuca squamea,Myrtaceae,"SA, NSW, Vic, Tas"
Thryptomene micrantha,highly_susceptible,Thryptomene micrantha,Thryptomene micrantha,Myrtaceae,"SA, Vic, Tas"
Adenanthos cacomorphus,highly_susceptible,Adenanthos cacomorphus,Adenanthos cacomorphus,Proteaceae,WA
Adenanthos cygnorum subsp. chamaephyton,highly_susceptible,Adenanthos cygnorum subsp. chamaephyton,Adenanthos cygnorum subsp. chamaephyton,Proteaceae,WA
Adenanthos eyrei E,highly_susceptible,Adenanthos eyrei,Adenanthos eyrei,Proteaceae,WA
Adenanthos glabrescens subsp. exasperatus,highly_susceptible,Adenanthos glabrescens subsp. exasperatus,Adenanthos glabrescens subsp. exasperatus,Proteaceae,WA
Adenanthos gracilipes,highly_susceptible,Adenanthos gracilipes,Adenanthos gracilipes,Proteaceae,WA
Adenanthos velutinus E,highly_susceptible,Adenanthos velutinus,Adenanthos velutinus,Proteaceae,WA
Agastachys odorata,highly_susceptible,Agastachys odorata,Agastachys odorata,Proteaceae,Tas
Banksia chamaephyton,highly_susceptible,Banksia chamaephyton,Banksia chamaephyton,Proteaceae,WA
Banksia dryandroides,highly_susceptible,Banksia dryandroides,Banksia dryandroides,Proteaceae,WA
Banksia elegans,highly_susceptible,Banksia elegans,Banksia elegans,Proteaceae,WA
